ID,Section,Type,Priority,Status,Task,Detail,Owner / Blocked on,Due,Source,Notes
B6,B. Activation,Task,P0,Open,Find out why the Customer.io push layer is dark,"push_delivered never fired; push_opened twice ever (10 Jul). 67% grant permission and receive nothing. Highest-impact lever, zero product work",,,PostHog review,
B7,B. Activation,Task,P1,Open,Guarantee the daily brief push - send manually if automation does not fire,Utkarsh's standing instruction after it missed him on 12 Aug,,,Product & Data 12 Aug,
B8,B. Activation,Task,P1,Open,Run 1-2 manual breaking-story pushes a day,"Sent universally, not sector-targeted. Sync with Ashish on execution",Ashish,,Product & Data 12 Aug,
B9,B. Activation,Task,P1,Open,Overhaul the notification strategy,"New copy, triggers and content formats incl. breaking-news alerts",,,Weekly App Review 17 Aug,
B10,B. Activation,Task,P2,Decision needed,Sector-based default brief images with Anmol - restart or formally drop,You deprioritised 14 Aug; still on Utkarsh's list from 12 Aug,Anmol,,Product & Data 12 Aug,
B11,B. Activation,Task,P2,Open,Define scoring/weighting for automated article pushes,Parked 12 Aug until real users; that week has passed and there are now 131,,,Product & Data 12 Aug,
B12,B. Activation,Task,P2,Open,Re-read Explore-vs-Brief after the cover cliff is fixed,"69% use Explore vs 31% open a brief. If it holds with a working entry, that is a v1.1 strategy signal",,,PostHog review,
C1,C. Acquisition,Task,P0,Open,Get the authoritative install number,"Play Console + App Store Connect. Four figures circulating: 15, 37-38, 50, 131",,,Conflict,
C2,C. Acquisition,Task,P1,Open,"Confirm whether App Store banner/description auto-fetch or need a build, then update",,,,Weekly App Review 17 Aug,
C3,C. Acquisition,Task,P1,Blocked,Monitor Apple's review of the updated screenshots,Live 1.0 listing carries one screenshot; four staged. Apple surfaces first three in search,Apple,,App Store Connect,
C4,C. Acquisition,Task,P1,Open,Lever 1 - website banner straight to Play Store + App Store,"Nityam briefed. Confirm live to all visitors, not just logged-in",Nityam,,Acquisition plan,
C5,C. Acquisition,Task,P2,Open,Lever 2 - email via Customer.io,"~1% open rate: 7,000 sends is ~70 opens. Size honestly",,,Acquisition plan,
C6,C. Acquisition,Task,P1,Open,Lever 3 - read on the go prompt on Inc42 mobile web,Biggest addressable pool by far,,,Acquisition plan,
C7,C. Acquisition,Task,P1,Open,Lever 4 - fire only for repeat readers (1+/2+ articles),Never first-time visitors,,,Acquisition plan,
C8,C. Acquisition,Task,P1,Open,Lever 5 - fire at ~60-70% scroll depth,,,,Acquisition plan,
C9,C. Acquisition,Task,P1,Open,Size the levers,Mobile-web sessions/week x %2+ articles x %past 60% x prompt CTR x store conversion. Plan currently has no numbers under it,,,Your own gap list,
C10,C. Acquisition,Task,P0,Decision needed,Define the go/no-go gate for 25 Aug and state the slip condition,"Proposed: install threshold, >=99% crash-free, 0 blockers, >=4.0 rating with >=10 ratings, iOS stable",,22 Aug,Your own gap list,
C11,C. Acquisition,Task,P1,Open,Distinct UTM/deep link per lever + verify deferred deep-linking,"Tap from an article should land on that article in-app, not a cold home screen",,,Your own gap list,
C12,C. Acquisition,Task,P1,Open,Set a frequency cap on the web prompts,Suggest once per user per 7 days. Web is the revenue surface,,,Your own gap list,
C13,C. Acquisition,Task,P1,Open,Seed ratings before public launch,Play Store conversion is driven by rating count. Ask the WhatsApp community now,,24 Aug,Your own gap list,
C14,C. Acquisition,Task,P0,Decision needed,Name an owner for the levers while Nityam is on DRS,"Currently unnamed, so they slip by default",,,Your own gap list,
C15,C. Acquisition,Task,P0,Open,Use the D2C Summit itself as a channel,Captive ICP audience; a QR on stage slides is free acquisition,,19 Aug,Your own gap list,
C16,C. Acquisition,Task,P1,Open,Research international media-brand growth tactics; share with Animesh,"His steer: not ET/HT/TOI, international media brands at similar scale. Answer his framing - media has no technical USP to sell",,,13 Aug call,
C17,C. Acquisition,Task,P2,Open,LinkedIn outreach to more senior Apple contacts,Low expectations; principal-engineer contact cannot intervene without violating Apple policy,,,11 Aug call,
C18,C. Acquisition,Task,P2,Open,Collate the App Store hygiene list and share with Ritvik,"Dev/store/blockers tabs; Ritvik works blockers only, ignoring Google-Play-specific items",,,11 Aug call,
D1,D. Instrumentation,Task,P0,Open,decode has zero telemetry,The AI explainer IS the positioning. Establish whether it is not in the build or shipped uninstrumented,,,PostHog review,
D2,D. Instrumentation,Task,P1,Open,v1 monetization dataset is empty,"interest_captured, locked_feature_tapped, watchlist_limit_hit never fired against a spec saying must be clean day 1",,,PostHog review,
D3,D. Instrumentation,Task,P1,Open,Resolve the auth anomaly - 110 sign-ins vs 25 registers,Determines whether the anonymous-user architecture is even live,,,PostHog review,
D4,D. Instrumentation,Task,P2,Open,Dedupe the untrack events,company_untracked + industry_untracked duplicate watchlist_entity_removed - three events for one action,,,PostHog review,
D5,D. Instrumentation,Task,P2,Open,Exclude auth_callback redirects from deep_link_opened,"62 of ~150 users are pollution, plus a dev IP inside production data",,,PostHog review,
D6,D. Instrumentation,Task,P2,Open,Implement brief_page_opened.is_edition_switch,Null on all 871 events,,,PostHog review,
D7,D. Instrumentation,Task,P1,Open,Add is_internal person property and an Internal & beta cohort,34 pre-12-Aug people are mixed into every live number,,,PostHog review,
D8,D. Instrumentation,Task,P1,Open,Run a v1.5 reconciliation of the 47-event dictionary with engineering,"Off-spec events firing incl. walkthrough (104 users), brief_story_rated, share_initiated, app_installed, brief_open_today (dead since 13 Jul)",,,PostHog review,
D9,D. Instrumentation,Task,P2,Open,Retire dashboards 583341 / 892092 / 894281,New North Star board 901039 is built and pinned,Utkarsh,,PostHog review,
D10,D. Instrumentation,Task,P2,Open,Website events fixing,Last open row in the unification memo events table,,,Unification memo,
D11,D. Instrumentation,Task,P2,Open,Reconcile proposed event names against the real taxonomy,Inc42 Website - Events & Properties.xlsx,,,Unification memo,
D12,D. Instrumentation,Task,P2,Open,Search quality - 30% zero-result rate,"58 of 195 searches, 16 searchers. Low volume, high signal",,,PostHog review,
D13,D. Instrumentation,Task,P2,Open,Errors on the most-used surface,"load_failed on Explore (7 users), not_found on company profiles (4)",,,PostHog review,
E1,E. Dunning & win-back,Task,P1,Open,Design the in-app dunning / win-back flow,Instant email on Razorpay token.cancelled is paused. In-app nudges and offers beat email - users are receptive while already in the product,,,17 Aug impromptu,
E2,E. Dunning & win-back,Task,P1,Blocked,Consume Ashish's task map and draft offer flows,Turn them into the actual flow when they land,Ashish,,17 Aug impromptu,
F1,F. Hiring agent,Task,P0,Open,Submit your 20 blind grades in the PT Calibration tab,Everything else is gated on this. FOA agreement went 1/11 to 7/11 only after calibration. Cost so far zero,,,Product Trainee plan,
F2,F. Hiring agent,Task,P1,Open,Deploy the experience-computation fix,"Written with 10/10 tests, not shipped. Four failure paths across 382 candidates. Bug is in Normalize Candidate Fields, not the request builder",,,Hiring agent notes,
F3,F. Hiring agent,Task,P1,Open,Move the three hard-coded JS rules into per-role sheet config,"countInternships, presentationMode, bucketWeights, hardRejects, typicalHikePercent, resultsTab, pilotCap. One workflow, never cloned",,,Hiring agent notes,
F4,F. Hiring agent,Task,P0,Open,"Move Keka client secret, Keka API key and Anthropic key out of plaintext","Currently in the Workflow Config node, readable by anyone with n8n access. Move to n8n credentials",,,Hiring agent notes,
F5,F. Hiring agent,Task,P1,Decision needed,Settle the misspelling rule,"Yash says hard negative, Shweta says remark. Calibration sided with Shweta - needs you to make it official",,,Hiring agent notes,
F6,F. Hiring agent,Task,P1,Decision needed,Confirm whether any background is a negative in itself,Product Trainee brief. Currently defaulting to judge on evidence only,,,Product Trainee plan,
F7,F. Hiring agent,Task,P0,Blocked,Chase Yash's consolidated JD feedback,Promised night of 14 Aug. Blocks the FOA re-run and rollout beyond Founder's Office,Yash,,14 Aug Yash call,
F8,F. Hiring agent,Task,P1,Open,Correct three numbers quoted to Utkarsh,"Hard filters reject 77% not 60%; location rejects nobody (ranking-only, no relocation field in Keka); tolerance is 20% not 30-40%",,,Hiring agent notes,
F9,F. Hiring agent,Task,P1,Open,Share the hiring report with Utkarsh,"Resumes received, shortlisted, rejected",,,Product & Data 12 Aug,
F10,F. Hiring agent,Task,P2,Open,Monitor and report agent cost to Utkarsh,Per-resume cost column exists in the sheet for this,,,Product & Data 12 Aug,
F11,F. Hiring agent,Task,P1,Open,Discuss the hiring-agent proposal with Utkarsh,It sits in the unification plan but was never discussed with him; he considers it done and dusted,Utkarsh,,17 Aug impromptu,
F12,F. Hiring agent,Task,P1,Decision needed,"15-min session with Ritvik on VM vs SaaS, take the call, inform Akash","Your math: only 20-40% of applicants reach the AI, so a 24x7 VM likely costs more. Ritvik: HR needs a UI, not a VM",Ritvik,,11 Aug call,
F13,F. Hiring agent,Task,P2,Open,Confirm the second FOA batch (200 resumes) is actually closed out,10 Aug plan was 100-150 to HR then 200. FOA declared complete 14 Aug but batch two never confirmed,,,10 Aug call,
G1,G. AskInc42 & knowledge,Task,P1,Open,Insert the DataLabs tab at position 5 in the Google Doc,"Then re-transfer the three changed tabs: How to read this, Inc42, Decision log. 08_DataLabs.md exists only on disk",,,Knowledge repo notes,
G2,G. AskInc42 & knowledge,Task,P1,Decision needed,Decide the single source of truth - Google Doc or MD files,"Both live and drifting. Recommendation: Doc wins, MD becomes a dated snapshot",,,Knowledge repo notes,
G3,G. AskInc42 & knowledge,Task,P0,Open,Raise the v2 onboarding API need with Anmol,Blocked on him since 11 Aug and never actually raised with him,Anmol,,11 Aug call,
G4,G. AskInc42 & knowledge,Task,P1,Open,Unblock the four placement designs,"Utkarsh's instruction: plan Satya's bandwidth jointly with the design team, not unilaterally",Satya,,Product & Data 14 Aug,
G5,G. AskInc42 & knowledge,Task,P1,Open,Deploy Ask DataLabs fast mode + streaming; analytics inside the DataLabs workspace,The separate analytics workspace was removed,,,Product & Data 12 Aug,
G6,G. AskInc42 & knowledge,Task,P1,Decision needed,Get answers to the release brief's two open questions,Will the client implement final; and which webhook goes live - master-agent-v1 or master-agent-v2-stream. The second decides when the fast lane reaches users,Ashish/Ritvik,,Release brief,
G7,G. AskInc42 & knowledge,Task,P1,Open,Land the Agent V3 fix,Backward compatible; forced by the 11 Dec gpt-5.4 deprecation. A client finalising on the first end truncates answers,,11 Dec,Release brief,
G8,G. AskInc42 & knowledge,Task,P2,Open,Ensure every Go deeper click is logged,Each is a labelled routing error and the only telemetry showing whether auto-routing under-selects depth,,,Release brief,
G9,G. AskInc42 & knowledge,Task,P1,Decision needed,Decide whether the cross-session cache leak is a reportable incident,"Follow-up fragments shared one global cache entry - a user could receive another user's answer. Fixed, but it was live",,,Release brief,
G10,G. AskInc42 & knowledge,Task,P2,Open,Research product types and T&Cs across Inc42 and DataLabs,Scoping pass for the knowledge repo,,,Knowledge repo notes,
H1,H. Strategy & roadmap,Task,P0,Open,Draft the 1-2 month unification + agent-platform roadmap and review with Utkarsh,Committed 14 Aug for a Mon 17 Aug review. Neither 17 Aug recording is that meeting - confirm whether it happened,Utkarsh,,Product & Data 14 Aug,
H2,H. Strategy & roadmap,Task,P1,Open,Sync with Utkarsh on the unification plan's scope,Contains items - hiring agent among them - never discussed with him,Utkarsh,,17 Aug impromptu,
H3,H. Strategy & roadmap,Task,P1,Decision needed,Confirm the deliverable format for clubbing your plan with his corpus,Merged doc vs roadmap referencing his strategy vs multi-tab artifact. Also whether Agent Platform is inside or parallel,Utkarsh,,16 Aug relay,
H4,H. Strategy & roadmap,Task,P1,Open,Re-derive the roadmap QIA-first,Every item tagged to a hypothesis A1-A13 with a pre-registered bar; mechanisms as competing candidates; rooms as primary business,,,Strategy corpus,
H5,H. Strategy & roadmap,Task,P1,Open,Merge Utkarsh's master context doc with your knowledge doc,"His was last updated April 2026. Add DataLabs context, share back",,,Product & Data 14 Aug,
H6,H. Strategy & roadmap,Task,P2,Open,"Run manual context updates with Ashish for 1-2 weeks, log change frequency, then automate","The agreed process, not a shortcut",Ashish,,Product & Data 14 Aug,
H7,H. Strategy & roadmap,Task,P1,Open,Share the daily/weekly cadence checklist with Utkarsh,"Notifications, weekly brief, app knowledge updates. Hand to Ashish to chunk into the vector DB",,,Product & Data 14 Aug,
H8,H. Strategy & roadmap,Task,P0,Open,Restore Ashish's edit access to the unification plan sheet,"Two-minute task, currently blocking him",,,17 Aug impromptu,
H9,H. Strategy & roadmap,Task,P2,Open,Schedule the 30-60 min internal alignment session on the unification plan,,,,11 Aug call,
H10,H. Strategy & roadmap,Task,P2,Open,Fold LLMs.txt / AEO into the roadmap,Revisit properly after the D2C Summit alongside new Inc42 messaging. Utkarsh raised it independently,,,Product & Data 14 Aug,
H11,H. Strategy & roadmap,Task,P2,Decision needed,Ask Utkarsh what he wants from the market-maps links,Build off our data / evaluate the tool / competitive read / FYI. Shared 17 Aug with no brief,Utkarsh,,17 Aug Slack,
H12,H. Strategy & roadmap,Task,P2,Open,Re-measure scroll completion excluding paywalled short pages,Any tiny scroll on a locked article registers ~100%. Utkarsh separately flagged the event's parameters as inaccurate. Memo section 3 stays provisional,,,Unification memo,
H13,H. Strategy & roadmap,Task,P1,Decision needed,Reconcile the DataLabs Pro-conversion conflict,0.05% of Registered (funnel) vs 3-6% beating a 1.2-2.0% target (dashboard). Do not quote either until both definitions are open side by side,,,Unification memo,
H14,H. Strategy & roadmap,Task,P2,Decision needed,Reconcile Registered to Onboarding conversion,57.9% / ~75% / a displayed 70.07% that matches neither,,,Unification memo,
I1,I. Ops & process,Task,P1,Open,Add your tasks to the Product Backlog project,Ritvik's ask - it is the single view he uses to see team load. Your tasks are not in it at all,,,14 Aug team call,
I2,I. Ops & process,Task,P2,Open,Explore Product Master / Product Backlog and propose how they are used together,So unification work has a home and everything reaching Satya and tech sits in one place,,,Product & Data 12 Aug,
I3,I. Ops & process,Task,P1,Open,Post the post-standup priority summary in channel,Utkarsh's explicit ask - he reviews it himself,,,Product & Data 12 Aug,
I4,I. Ops & process,Task,P1,Open,Post daily updates in Techwalla,"Completed yesterday, working on today, including work with Utkarsh",,,Product & Data 12 Aug,
I5,I. Ops & process,Task,P2,Open,Write and share the user feedback-collection plan,,,,Product & Data 12 Aug,
I6,I. Ops & process,Task,P2,Open,Finish the master recurring-audit checklist and share it,"Recurring tasks needing manual review (knowledge refresh cadence, whether new functionality triggers a T&C update) plus audit processes with timing incl. page speed",,,Product & Data 12 Aug,
I7,I. Ops & process,Task,P2,Open,Start direct user calls for qualitative feedback,Utkarsh: stop relying only on in-app and observational signals,,,Product & Data 12 Aug,
I8,I. Ops & process,Task,P1,Open,Rename the Companies tab to Data Labs,Users do not realise it is the DataLabs section,,,17 Aug impromptu,
I9,I. Ops & process,Task,P2,Open,Adopt Major.Feature.Bugfix versioning across app releases,Agreed 17 Aug,,,17 Aug impromptu,
I10,I. Ops & process,Task,P1,Open,Fix the notification delay bug,Notifications show today for yesterday's activity,,,17 Aug impromptu,
I11,I. Ops & process,Task,P2,Blocked,Feed the release-notes agent once Ashish builds it,Start maintaining release notes for every change,Ashish,,17 Aug impromptu,
J1,J. Legal & DPDP,Task,P0,Open,Send Gokul's opt-out details to Ashish and notify on deletion,"Delete photo, work email, LinkedIn URL; add to suppression list; remove from XML sitemap; page must return a real 404 not unpublished. Data team deletes, dev verifies",,,17 Aug impromptu,
J2,J. Legal & DPDP,Task,P1,Open,Establish the statutory DPDP minimum before going to Utkarsh,Your deliberate hold - avoids paying for optional controls,,,11 Aug call,
J3,J. Legal & DPDP,Task,P1,Open,Push the vendor for a re-scoped plan,"10L+GST phases, consent manager +2L, TPRM and tooling a further 15-20L if identified. Realistically ~30L all-in with lock-in once the first 12L is paid",,,11 Aug call,
J4,J. Legal & DPDP,Task,P1,Decision needed,Resolve the vendor identity,"Notes name both KavachOne/Shivang and Mitigator - same engagement re-quoted, second vendor, or transcription slip",,,Conflict,
J5,J. Legal & DPDP,Task,P1,Open,"Name the LLM sub-processor in Privacy 7.1/8, get a DPA and zero-retention terms","Section 5.1 already names Ask Mode, AI reports and company summaries as live with no AI processor disclosed. Hiring agent repeats the exposure",,,DPDP notes,
J6,J. Legal & DPDP,Task,P1,Open,Verify deletion actually cascades,"App DB to BigQuery, Elasticsearch, Customer.io, HubSpot. If it does not, the published 7-day deletion promise is not met",,,DPDP notes,
J7,J. Legal & DPDP,Task,P1,Open,T&C 18(f) still says within 30 days,Must become the 7-day restore model to match Privacy 9.4,,,Legal notes,
J8,J. Legal & DPDP,Task,P2,Open,Replace the PUBLISH DATE placeholder in both policy documents,Re-export - the PDF/DOCX builds are behind your own edits,,,Legal notes,
J9,J. Legal & DPDP,Task,P1,Open,Note the earlier binding deadline - consent management 13 Nov 2026,Not May 2027. The date most people miss,,13 Nov 2026,DPDP notes,
K1,K. Azure & cost,Task,P1,Open,Capture what Varun committed to and by when,Follow-up call happened 14 Aug; outcome never recorded,,,Azure notes,
K2,K. Azure & cost,Task,P1,Blocked,Get the credit history from Ashish,"Received last year, whether there was a POC, utilisation to date. Varun needs all three",Ashish,,Azure notes,
K3,K. Azure & cost,Task,P0,Open,Investigate the cost spike,"~$15,000 last month against a consistent ~8.5L. If that rate holds runway is one month, not two",,,Product & Data 12 Aug,
K4,K. Azure & cost,Task,P1,Open,Build the AI-led POC case to Microsoft; ask for the maximum not the 50k gap,Startup programs weight AI-heavy use cases; your previous company secured 200k on that pitch,,,Product & Data 12 Aug,
K5,K. Azure & cost,Task,P1,Open,Fast-track the credit add-on with Varun,"No POC on last year's 100k, so headroom to the 150k ceiling is not automatic - needs a POC and a written case",,,Product & Data 12 Aug,
L1,L. QA & copy,Task,P2,Open,Close out the 20 UI/UX bugs shared on 1 Aug,"None confirmed done. Spans Welcome, onboarding, typography, Streak, Explore/Article, Companies in the News, Save Article, Featured Article, bottom nav, Brief header, Rate Up, guest users, Company filter sheet, Sort By",,,QA list 1 Aug,
L2,L. QA & copy,Task,P2,Open,The three follow-ups from that list,Tag inline-article-mention opens with a distinct source/campaign; finalise Articles/Companies pill order with Editorial; create a CRM use-case doc,,,QA list 1 Aug,
L3,L. QA & copy,Task,P2,Decision needed,Pick the final card copy,Read more (takes 30 seconds) is contradictory and fights the anti-infinite-scroll positioning. Recommendation: 30-sec summary plus Read full story as separate CTA,,,Open items,
M1,M. Personal & HR,Task,P1,Open,Raise the time-policy conflict with HR and Utkarsh; request the leave-deduction reversal,Rigid late-check-in deduction is incompatible with an expectation of working late,,,17 Aug impromptu,
M2,M. Personal & HR,Task,P2,Blocked,Chase Utkarsh's approval of your WFH regularisation on Keka,"Assigned to him 12 Aug, no confirmation since",Utkarsh,,Product & Data 12 Aug,
W1,N. Waiting on others,Waiting on,P0,Waiting,"Yash owes: Consolidated JD feedback across all roles - salary, years, criteria in one pass",Blocks F7 - blocks the FOA re-run. Chase: YES - overdue.,Yash,,Assigned 14 Aug,
W2,N. Waiting on others,Waiting on,P1,Waiting,Satya owes: The four AskInc42 placement designs,Blocks G4 - blocks AskInc42 ship. Chase: YES.,Satya,,Assigned 12 Aug,
W3,N. Waiting on others,Waiting on,P1,Waiting,Ashish owes: Dunning task map + draft win-back offer flows,Blocks E2. Chase: YES.,Ashish,,Assigned 17 Aug,
W4,N. Waiting on others,Waiting on,P1,Waiting,"Ashish owes: Azure credit history - received, POC, utilisation",Blocks K2. Chase: YES.,Ashish,,Assigned 11 Aug,
W5,N. Waiting on others,Waiting on,P2,Waiting,Ashish owes: Gokul 404 verification after data team deletes,Blocks J1. Chase: Monitor.,Ashish,,Assigned 17 Aug,
W6,N. Waiting on others,Waiting on,P2,Waiting,Ashish owes: Release-notes agent,Blocks I11. Chase: No.,Ashish,,Assigned 17 Aug,
W7,N. Waiting on others,Waiting on,P2,Waiting,Ashish owes: DataLabs SEO fixes,Chase: No.,Ashish,,Assigned 17 Aug,
W8,N. Waiting on others,Waiting on,P2,Waiting,Ashish owes: Infra cost optimisation,Blocks K3. Chase: Monitor.,Ashish,,Assigned 14 Aug,
W9,N. Waiting on others,Waiting on,P2,Waiting,Anmol owes: Ask DataLabs suggested-Q&A storage API,Blocks G5. Chase: Monitor.,Anmol,,Assigned 17 Aug,
W10,N. Waiting on others,Waiting on,P2,Waiting,Anmol owes: Cost optimisation tasks this month,Chase: No.,Anmol,,Assigned 17 Aug,
W11,N. Waiting on others,Waiting on,P2,Waiting,Anmol owes: iOS/Android creatives from Animesh,Chase: No.,Anmol,,Assigned 17 Aug,
W12,N. Waiting on others,Waiting on,P1,Waiting,Nityam owes: Deep-link re-prompt research on Android/iOS,Blocks A7 - but settle root cause first. Chase: YES - may be wrong brief.,Nityam,,Assigned 17 Aug,
W13,N. Waiting on others,Waiting on,P1,Waiting,Nityam owes: Push-notification trigger investigation,Blocks B6. Chase: YES.,Nityam,,Assigned 17 Aug,
W14,N. Waiting on others,Waiting on,P2,Waiting,Nityam owes: Global availability country list,Chase: No.,Nityam,,Assigned 17 Aug,
W15,N. Waiting on others,Waiting on,P2,Waiting,Nityam owes: Brief activation improvements draft,Blocks B1. Chase: Monitor.,Nityam,,Assigned 17 Aug,
W16,N. Waiting on others,Waiting on,P2,Waiting,Nityam owes: Multi-topic brief push plan,Blocks B11. Chase: Monitor.,Nityam,,Assigned 17 Aug,
W17,N. Waiting on others,Waiting on,P2,Waiting,Ritvik owes: Ask DataLabs fast-mode redirect to Utkarsh's Claude flow,Blocks G5. Chase: No.,Ritvik,,Assigned 17 Aug,
W18,N. Waiting on others,Waiting on,P2,Waiting,Ritvik owes: Deep-mode error handling and timeouts,Blocks G5. Chase: No.,Ritvik,,Assigned 17 Aug,
W19,N. Waiting on others,Waiting on,P2,Waiting,Ritvik owes: Sync with Utkarsh on Claude automation errors,Chase: No.,Ritvik,,Assigned 17 Aug,
W20,N. Waiting on others,Waiting on,P1,Waiting,Utkarsh owes: Product direction doc linking brand + product + company,"Blocks H1, H4. Chase: YES.",Utkarsh,,Assigned 12 Aug,
W21,N. Waiting on others,Waiting on,P1,Waiting,Utkarsh owes: Updated master context doc,Blocks H5. Chase: YES.,Utkarsh,,Assigned 14 Aug,
W22,N. Waiting on others,Waiting on,P1,Waiting,Utkarsh owes: Schedule the Monday roadmap review,Blocks H1. Chase: YES - may never have happened.,Utkarsh,,Assigned 14 Aug,
W23,N. Waiting on others,Waiting on,P1,Waiting,Utkarsh owes: Unblock Satya's bandwidth with the design team,Blocks G4. Chase: YES.,Utkarsh,,Assigned 14 Aug,
W24,N. Waiting on others,Waiting on,P2,Waiting,Utkarsh owes: FOA band confirmation with Yash,Blocks F7. Chase: Superseded by Yash's consolidated pass.,Utkarsh,,Assigned 12 Aug,
W25,N. Waiting on others,Waiting on,P2,Waiting,Utkarsh owes: Delete AI Workspace,Chase: No.,Utkarsh,,Assigned 14 Aug,
W26,N. Waiting on others,Waiting on,P1,Waiting,Utkarsh owes: Approve WFH regularisation on Keka,Blocks M2. Chase: YES.,Utkarsh,,Assigned 12 Aug,
W27,N. Waiting on others,Waiting on,P2,Waiting,Animesh owes: Play-Store-first backup flow draft,Blocks C4. Chase: Monitor.,Animesh,,Assigned 13 Aug,
W28,N. Waiting on others,Waiting on,P2,Waiting,Animesh owes: 2x daily syncs on the backup plan,Chase: No.,Animesh,,Assigned 13 Aug,
W29,N. Waiting on others,Waiting on,P2,Waiting,Prapti owes: Listicle images with Bhavika,Chase: No.,Prapti,,Assigned 14 Aug,
W30,N. Waiting on others,Waiting on,P2,Waiting,Prapti owes: Card-vs-list A/B test doc to Utkarsh,Chase: No.,Prapti,,Assigned 14 Aug,
W31,N. Waiting on others,Waiting on,P2,Waiting,Prapti owes: Trend-based early-stage startups piece,Chase: No.,Prapti,,Assigned 14 Aug,
X1,O. Conflicts to resolve,Conflict,P0,Decision needed,Resolve: Deep-link root cause,"VALUES: User permission block (17 Aug Weekly App Review) vs Customer.io click-tracker breaking Universal/App Links (18 Aug Slack) || WHY: Decides what Nityam builds. Different bugs, different fixes || SETTLE BY: Test one newsletter link and one direct link on a clean device; check whether the tracker domain is in AASA",,,Cross-source contradiction,
X2,O. Conflicts to resolve,Conflict,P0,Decision needed,Resolve: Install count,"VALUES: 15 (you, 14 Aug) / 7-8 (Animesh) / 37-38 (you, 13 Aug) / ~50 (told Utkarsh) / 131 fresh installers (PostHog 12-17 Aug) || WHY: The whole acquisition sizing argument anchors on it || SETTLE BY: Pull Play Console + App Store Connect directly; PostHog is the only instrumented figure",,,Cross-source contradiction,
X3,O. Conflicts to resolve,Conflict,P0,Decision needed,Resolve: Brief completion rate,"VALUES: ~20% (17 Aug call) / 41% of brief-openers / 13% of installs / median duration 7 seconds || WHY: This is the metric you are now committing to move from 20 to 40 || SETTLE BY: Pick a denominator, publish it, and always pair it with duration",,,Cross-source contradiction,
X4,O. Conflicts to resolve,Conflict,P0,Blocked,Resolve: Founder's Office salary band,"VALUES: 10-12L (Yash via you) / 12-14L (Utkarsh) / 18L (Utkarsh proposal, Yash said not for this profile) / agent runs 12L || WHY: Do not touch the agent cap until settled || SETTLE BY: Yash's consolidated JD feedback resolves it",Yash,,Cross-source contradiction,
X5,O. Conflicts to resolve,Conflict,P0,Decision needed,Resolve: DataLabs Pro conversion,"VALUES: 0.05% of Registered (90-day funnel) vs 3-6% against a 1.2-2.0% target (baseline dashboard) || WHY: Changes whether DataLabs reads as healthy or broken || SETTLE BY: Open both dashboard definitions side by side; compare step window, base and date range",,,Cross-source contradiction,
X6,O. Conflicts to resolve,Conflict,P1,Open,Resolve: Unverified as closed,"VALUES: 27 Jul commitments: brief/PN title logic, 7 sector-generic brief images, Jun capitalisation bug, remove Sector focus from brief card, Pulse LLM filtering with rejection reasons || WHY: Never explicitly confirmed done in any later meeting || SETTLE BY: Ask Ritvik/Anmol in standup",,,Cross-source contradiction,
