User property (name as it is live today),Priority,Action,What Media stores today,In PostHog - Inc42 Live (53557),In Customer.io - Inc42 workspace (208301),Where to change it,What exactly to do,Done when,Where this row came from
The word 'undefined' being saved as a value,P1,Fix,"When a reader has not filled something in, the website sends the word 'undefined' instead of leaving the field empty. It is sitting in Company Name, First Name, Last Name, Full Name ('undefined undefined'), Phone Number, Work Email, Registration Status, Seniority, Industry, Function and Interests. Every count that includes it is overstated, and 'undefined undefined' has been emailed to readers as their name.",Present across at least 11 fields,Carried through to Customer.io on the same fields,"Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Where a reader has not given a value, send nothing at all rather than the word 'undefined'. Then do a one-time clean-up that empties every field currently holding that word.","Searching PostHog people for the value 'undefined' returns nothing, and no email greeting says 'undefined'.",Newly found by this audit (8 Sep).
Company Name,P1,Fix,"105,058 people have the field, 39,443 have nothing in it - 38% empty. Filled values include 'TBD' and the word 'undefined' alongside real names such as Zepto, Flipkart and Swiggy.","105,058 people, 39,443 empty (38%)","Present, no audience group or campaign uses it","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.",Stop sending 'TBD' and 'undefined' - leave the field empty instead. Trim spaces and make the capitalisation consistent in a one-time clean-up so the same company is not counted twice.,"No Company Name value is 'TBD' or 'undefined', and a list of top company names has no duplicate spellings.",Your sheet row 43 said Keep. Corrected here - 38% of it is empty.
Company Sector  <-  Industry,P1,Merge,"Two fields describe the same thing and no one has both, so they can be joined with nothing lost. Company Sector is on 17,583 people, Industry on 7,157 (of which 4,374 are empty, 61%). Their word lists differ: Company Sector says 'FinTech', 'Ecommerce', 'Media & Entertainment'; Industry says 'Fintech', 'Ecommerce', 'IT', 'Investor'.","Company Sector 17,583 (262 empty); Industry 7,157 (4,374 empty); overlap zero",Customer.io has 'company_sector' and 'Industry' as separate fields,"Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Keep company_sector. Copy the 2,783 Industry values that are not empty into it, matching 'Fintech' to 'FinTech' and so on as you go. Then stop writing Industry and remove it. Agree one written list of sectors first, otherwise the joined field will still hold two spellings.","Industry no longer exists in PostHog or Customer.io, company_sector is on about 20,300 people, and every value is from the agreed sector list.",Your sheet row 22.
Full Name  /  Name,P2,Merge,"'Name' is a straight copy of 'Full Name' with nothing of its own - 32,119 people have both, 1,947 have only Full Name, and nobody has only Name. Both hold 'undefined undefined' for readers who never gave a name.","Full Name 34,063 (5,000 empty); Name 32,116 (4,453 empty)","Both present, neither used by an audience group or campaign","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Stop writing 'Name'. Keep full_name as the single field. Remove 'Name' from PostHog and Customer.io. No copying is needed first, because no one has Name without Full Name.","'Name' no longer appears in the people list in either tool, and the count of people with a full name is unchanged.",Your sheet row 42.
First Name  /  Last Name,P2,Fix,"First Name is on 32,752 people with 7,295 empty (22%); Last Name is on 51,402 with 8,644 empty (17%). Both hold the word 'undefined' as a value. The two counts do not match, so about 19,000 people have a surname and no first name.","First Name 32,752 (7,295 empty); Last Name 51,402 (8,644 empty)",Both present. 'first_name' is used by a campaign called 'test'.,"Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.",Send both names together or send neither. Stop sending 'undefined'. Do a one-time clean-up that empties the fields currently holding that word. Check the campaign called 'test' before changing first_name - it reads that field.,"The First Name and Last Name people-counts are within a few percent of each other, and neither holds the word 'undefined'.",Newly found by this audit (8 Sep).
Company Website  /  Brand Website,P2,Fix,"Only 211 people have Company Website and 97 of those are empty - 46%. What is in it is mostly not a website: 'dasdas', 'NA', 'Advent Digital' (a company name), and inc42.com itself. Customer.io separately has 'Brand Website'.","211 people, 97 empty (46%)",Two fields: 'Company Website' and 'Brand Website'. Neither used by an audience group or campaign.,"Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Check the value looks like a web address before saving it; if it does not, leave the field empty. Keep one field - company_website - and copy anything in 'Brand Website' into it before removing 'Brand Website'.","Every Company Website value starts with http, and Customer.io has one website field for the reader's company, not two.",Your sheet row 15.
Company Type  /  company_stage,P2,Fix,"Only 953 people out of 10.4m have a company type. The values are not from the agreed company-stage list, and some have a leading space or an underscore in them, which makes the same value count twice.","953 people, 14 empty",Customer.io has both 'Company Type' and 'company_stage',"Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Agree one written list of company stages. Change the form to send only those. Remove leading spaces and underscores in a one-time clean-up. Decide whether Company Type and company_stage are the same thing - if they are, keep one.","Every Company Type value is on the agreed list with no leading space, and Customer.io has one company-stage field, not two.",Your sheet row 10.
Plus Next Payment Date,P1,Fix,"The dates are stored as raw counter numbers such as 1821150009, while every other Plus date on Media is stored as a readable date such as 2023-07-06. 268 of the 463 people who have this field have nothing in it - 58%. Anything that reads this field to decide when to remind someone is comparing two different things.","463 people, 268 empty (58%)","Present, no audience group or campaign uses it","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.",Store this the same way as the other Plus dates - year-month-day. Convert the counter numbers already stored in a one-time clean-up. Do not leave both formats in the field.,"Every Plus Next Payment Date value reads as a date, and none is a bare number.",Your sheet row 12 covered the expiry date. This is the same problem on the payment date.
Plus Subscription ID  /  Plus_Subscription_ID  /  Plus Term ID,P1,Fix,The same field holds two completely different kinds of ID at once - letter codes such as RCTB3O3QY44S and plain numbers such as 476604. Customer.io also carries a second copy of the field name with underscores in it. Plus Term ID has exactly the same mix.,Plus Subscription ID 774 people; Plus Term ID 778 people,'Plus Subscription ID' and 'Plus_Subscription_ID' both exist as separate fields,"Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.",Decide which of the two ID systems is the real one and store only that. Keep the other in its own separate field if it is still needed. Remove the underscore copy of the name from Customer.io after copying anything that only exists there.,"Every Plus Subscription ID value is the same shape, and Customer.io has one field for it, not two.",Your sheet row 11.
Pro Membership Type / Pro Membership Expiry Date / Pro Next Payment Date  vs the pro_ fields,P1,Merge,"Media now carries the Pro billing details twice under two naming styles. The newer set (pro_lifecycle_stage, pro_subscription_status, pro_mandate_status, pro_trial_start_at, pro_trial_end_at, pro_first_paid_at, pro_next_charge_at, pro_next_charge_amount, pro_current_period_end_at, pro_renewal_count, products_held) is on 101 people. The older set is on 101-406 people. Both are being written today.",pro_ fields 101 people each; Pro Membership Type 406; Pro Membership Expiry Date 101 (7 empty); Pro Next Payment Date 101 (60 empty),All present in Customer.io as well,"Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Keep the newer pro_ set - it is the one the DataLabs billing work already agreed. Copy anything the older three hold that the newer set does not, then stop writing the older three and remove them. Note 6 people hold both a Plus and a Pro membership, so do not assume one person has only one product.","Only the pro_ set appears in the people list, and the count of people with a Pro membership is unchanged.",Your sheet rows 16-20 and the 4 Sep audit note on the Pro billing field names.
Plus Meter Views Left,P1,Not sure,"This is written on 1,241,894 people - by far the most-used field on Media, more than ten times any other, and it is written on readers who have never signed in. It is not in Customer.io at all. Your sheet says delete it. Deleting it would remove the only record of how much free reading each person has left.","1,241,894 people, 0 empty. Values 0 to 4.",Not present,"Decision needed from Ranjith and the Plus paywall owner, before anything is changed.","DECISION NEEDED. Either (a) it stays, and it is accepted that it is written on 1.2m people, or (b) the free-reading counter is kept only in the paywall's own store and stops being sent to PostHog. Do not act on the 'delete' in your sheet until this is decided - the paywall may be reading it.","A written decision exists, naming who owns the free-reading counter.",Your sheet row 31 (Delete). Flagged here before anyone acts on it.
"Newsletter fields: Daily_Newsletter_Status, Newsletter Subscribed  vs Customer.io's own subscription centre",P1,Fix,"There are two competing records of who is subscribed to what. Customer.io's own subscription centre (cio_subscription_preferences and its six topics) is the one actually driving sends - it is behind the Daily Brief, Weekly Brief, The Checkout, AI Shift and LinkedIn Newsletter audience groups. The separate status fields are nearly empty by comparison: Daily_Newsletter_Status is on 2,300 people in PostHog and about 11 in Customer.io.","Daily_Newsletter_Status 2,300 people; Newsletter Subscribed 1,727 people",Customer.io's subscription centre drives 6 live audience groups. The separate per-newsletter status fields in your sheet (rows 59-70) are not live on Media.,"Customer.io, Inc42 workspace (208301) > Data index > Profile attributes. And the Inc42 Media website code that records a newsletter sign-up.","Treat Customer.io's own subscription centre as the single record of who is subscribed. Stop writing Daily_Newsletter_Status and Newsletter Subscribed, and do not build the 12 separate per-newsletter status fields listed in your sheet. If a newsletter needs its own record, add it as a topic in the subscription centre instead.","Every newsletter audience group is built from the subscription centre, and no send reads a per-newsletter status field.",Your sheet rows 58-70. This is the open question from the 4 Sep audit - the live evidence answers it.
Event Type  /  Event_Type  /  Event_type,P2,Delete,The same field name exists three times in Customer.io with different punctuation. Only one of the three - 'Event Type' - is used by anything; it feeds the audience group 'DRS 2026 | Paid Applications Final'. The other two are unused copies.,Not present in PostHog,All three present. 'Event Type' feeds 1 audience group; 'Event_Type' and 'Event_type' feed nothing.,"Customer.io, Inc42 workspace (208301) > Data index > Profile attributes.",Check that 'Event_Type' and 'Event_type' hold nothing that 'Event Type' does not. Then remove both. Do not touch 'Event Type' - a live audience group reads it.,"Customer.io shows one Event Type field, and the DRS 2026 audience group still has the same number of people in it.",Newly found by this audit (8 Sep).
What Discribes you best  /  Which describes you best?  /  Where is your company today?,P2,Merge,"Three fields ask what is effectively the same question, and the first one has a spelling mistake in its name. None of the three is used by an audience group or a campaign.",Not present in PostHog,"All three present, none in use","Customer.io, Inc42 workspace (208301) > Data index > Profile attributes.","Decide which single question you want to keep and give it one correctly spelt name. Copy any answers held only by the other two into it, then remove them.",Customer.io has one field for this question and its name is spelt correctly.,Your sheet row 23 covered part of this.
LinkedIn URL  /  LinkedIn Profile URL  /  Company LinkedIn URL,P2,Merge,Three LinkedIn fields. Two of them - LinkedIn URL and LinkedIn Profile URL - are the reader's own profile and duplicate each other. The third is the company's page and is a genuinely different thing.,Not present in PostHog,"All three present, none used by an audience group or campaign","Customer.io, Inc42 workspace (208301) > Data index > Profile attributes.","Keep linkedin_profile_url for the person and company_linkedin_url for the company. Copy anything held only in 'LinkedIn URL' into linkedin_profile_url, then remove 'LinkedIn URL'. About one in five of the values is not a LinkedIn address - empty those in the same clean-up.","Customer.io has two LinkedIn fields, not three, and every value in them starts with linkedin.com.",Your sheet rows 26 and 50.
"Three different 'when did they join' fields: User Creation Date, created_at, Registered_Date",P2,Merge,"Media records the same moment three times under three names, and they do not agree with each other. 'created_at' is read by a live campaign, so it cannot simply be removed.","User Creation Date 29,585 people (1 empty)",All three present. 'created_at' feeds the campaign 'Untitled Campaign 17'.,"Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Pick one - user_creation_date is the name your sheet already agreed. Check the three against each other on a handful of people first, because they do not currently match. Move 'Untitled Campaign 17' onto the kept field before removing created_at.","One joining-date field remains, no campaign reads a removed one, and spot-checking ten readers shows the same date as their first event.",Your sheet rows 38 and 39.
Nothing in Customer.io is marked as personal data,P1,Fix,"All 119 fields in the Media workspace are set to privacy level 0 - none is marked as personal data - and not one of the 119 has a description written against it. That includes Email, email, Personal Email, Work Email, Secondary Email, Phone Number, phone, Full Name, First Name, Last Name and LinkedIn Profile URL.",-,"119 of 119 fields: privacy level 0, description blank","Customer.io, Inc42 workspace (208301) > Data index > Profile attributes.","Mark every field that holds a name, an email address, a phone number, a LinkedIn address or a personal ID as personal data in Customer.io. Write a one-line description on each of the 119 fields saying what it holds and who writes it. Start with the 11 fields named here.","Opening Data index in Customer.io shows a description on every field, and every field holding personal details is marked as such.",Newly found by this audit (8 Sep). Feeds the DPDP work.
Audience groups keyed on the 'id' field,P1,Fix,"Two live audience groups - 'Have a Mobile Device' and 'Doesn't have a Mobile Device' - are built by testing the profile's 'id' field. On the profiles sampled, that field is empty. Anything sent to those two groups is going to the wrong people.",-,'id' is used by the audience groups 'Have a Mobile Device' and 'Doesn't have a Mobile Device'. It was empty on the profiles checked.,"Customer.io, Inc42 workspace (208301) > Data index > Profile attributes. And whoever owns those two audience groups.",Check how many people each of those two groups currently contains against how many readers actually have a phone number. Rebuild both groups on the phone-number field instead of on 'id'.,"Both groups are built on the phone-number field, and their sizes match the number of readers who have a phone number.",Newly found by this audit (8 Sep).
"The 19 advertising click fields (fbclid, gclid, li_fat_id, twclid, wbraid, msclkid, igshid, mc_cid, gad_source, ttclid, gbraid, rdt_cid, _kx, dclid, gclsrc, irclid, epik, sccid, qclid)",P2,Delete,"These are saved permanently onto the person even though they belong to a single click. Most are completely empty: igshid, gad_source, ttclid, gbraid, rdt_cid, _kx, dclid, gclsrc, irclid, epik, sccid and qclid are on about 42,789 people each and every single one of them is empty. fbclid is the only one with real content, on 183,906 people.","About 42,789 people each; 12 of the 19 are 100% empty",Not present,"PostHog, Inc42 | Live project (53557) > People. And the Inc42 Media website code that copies the web address into the person record.","Stop copying these onto the person. If a click ID is needed at all, keep it on the click itself. Remove the 12 that are completely empty first - nothing is lost. Then remove the rest.",The people list in PostHog no longer shows these field names.,Newly found by this audit (8 Sep).
Form ID,P2,Delete,"A form's number is saved onto the person, so each person carries only the last form they touched and the earlier ones are lost. On 16,176 people.","16,176 people, 0 empty",Not present,"PostHog, Inc42 | Live project (53557) > People. And the Inc42 Media website form code.","Keep the form number on the form-submitted event, where every submission is kept. Stop saving it onto the person and remove it from the people list.","Form ID no longer appears in the people list, and form submissions are still countable per form on the events side.",Newly found by this audit (8 Sep).
User State,P3,Delete,"Every one of the 16,782 people has the same single value, 'Logged In'. A field with one value tells you nothing.","16,782 people, 0 empty, one distinct value",Present,"Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Stop writing it and remove it from both tools. Whether someone is signed in is a moment, not a lasting fact about them.",User State no longer appears in either tool.,Newly found by this audit (8 Sep).
Payment Stage,P3,Fix,"All 430 people have the same single value, 'Payment Completed_Backend'. It is named like a stage but never changes, so it cannot show a stage.","430 people, 0 empty, one distinct value",Present,"Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Either write the other stages as well, so the field means something, or stop writing it and remove it. Do not leave it as it is.","Payment Stage holds more than one value, or it no longer exists.",Your sheet row 4 said Keep. Corrected here - it never changes.
Interests,P3,Fix,"Only 41 people have it and 12 of those are empty. What is stored is one long run of text containing every interest joined together, so it cannot be filtered on.","41 people, 12 empty","Present, no audience group or campaign uses it","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Agree the list of allowed interests and write it down. Store each interest as its own separate entry rather than one run of text, so an audience group can be built on a single interest.","An audience group can be built on one interest, and the agreed list of interests is written down somewhere.",Your sheet row 72 said Keep. Corrected here - it cannot be filtered on as stored.
City  /  city  /  state  /  country,P3,Fix,"PostHog has 'City' on only 41 people, 34 of them empty, with mixed capitalisation ('MUMBAI', 'Bangalore'). Customer.io separately has city, state and country, and also its own automatic location fields. So Media has three overlapping records of where someone is.","City 41 people, 34 empty (83%)","'city', 'state', 'country' present, plus the automatic cio_ location fields","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Decide whether the reader's stated location or Customer.io's automatic location is the one to trust, and keep only that. Make capitalisation consistent in a one-time clean-up. Do not keep three.","One set of location fields remains, with consistent capitalisation.",Your sheet rows 25 and 48.
Function,P3,Fix,"Only 41 people have it, 10 of them empty, and the word 'undefined' is one of the values.","41 people, 10 empty","Present, no audience group or campaign uses it","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Agree the list of functions, change the form to send only those, and stop sending 'undefined'. If the field is not going to be collected properly, remove it instead of leaving it at 41 people.","Function is either on a meaningful number of people with values from the agreed list, or it no longer exists.",Your sheet rows 2 and 45.
"The 15 Customer.io-only enrichment fields (engagement_score, engagement_tier, paid_score, nonpaid_score, crm_reach_tier, is_investor, net_ltv_inr, membership_orders_count, paid_events_count, company_employees, company_founded_year, company_funding_usd, company_revenue_fy, company_revenue_inr, FY25 Revenue)",P2,Add,"A whole scoring and company-enrichment layer exists in Customer.io that is in no specification, is not in PostHog, and has no description against it. No one outside whoever loaded it knows what the scores mean or when they were last refreshed.",Not present,"All 15 present, none used by an audience group or campaign, none described","Customer.io, Inc42 workspace (208301) > Data index > Profile attributes. And whoever loads these values.",Find out who loads these and how often. Write one line against each in Customer.io saying what it means and when it was last refreshed. Decide whether they should also be in PostHog. 'FY25 Revenue' duplicates company_revenue_fy - keep one.,"Every one of the 15 has a description naming its owner and refresh date, and there is one revenue field rather than two.","Newly found by the 4 Sep audit, still not in any specification."
"The 16 one-person lower-case copies (work_email, seniority, first_name, company_name, personal_email, last_name, register_source, uid, registration_status, user_creation_date, phone_number, designation, full_name, name, plan, credits)",P3,Delete,Each of these exists on exactly one person - a test account. They clutter the field list and make it look as though Media already writes the agreed lower-case names when it does not.,1 person each (3 for 'name'),Not present,"PostHog, Inc42 | Live project (53557) > People.",Remove them from the people list. Do not treat them as evidence that Media already uses the agreed names.,The people list shows one field per concept rather than a lower-case twin on one person.,Newly found by this audit (8 Sep).
is_staff  /  is_superuser,P3,Delete,"Internal system flags from the site's own back end, on 3 and 1 people. They are not reader information.",is_staff 3 people; is_superuser 1 person,Not present,"PostHog, Inc42 | Live project (53557) > People.",Stop sending them and remove them from the people list.,Neither field appears in the people list.,Newly found by this audit (8 Sep).
ph_keyword,P3,Delete,"Holds what someone typed into search, saved onto the person. Only 3 people, and the values include full questions a reader typed.",3 people,Not present,"PostHog, Inc42 | Live project (53557) > People.","Keep search terms on the search event, not on the person. Remove the field.",ph_keyword no longer appears in the people list.,Newly found by this audit (8 Sep).
"The Plus billing fields that only exist in PostHog (Plus Membership Status, Plus Last Payment Date, Plus Next Bill Date, Plus Last Payment Amount, Plus Total Payment Amount, Plus Subscription Count, Plus Conversion ID, Charge Amount, Charge Currency)",P2,Not sure,"Nine Plus billing fields are written to PostHog and never reach Customer.io, so no renewal or dunning message can use them. Between 201 and 508 people each.","201 to 508 people each, none empty",None of the nine is present,Decision needed from Ranjith and the Plus billing owner.,"DECISION NEEDED. Either these are needed for messaging, in which case they must also be sent to Customer.io, or they are analysis-only, in which case say so in writing so no one plans a campaign on them.","A written decision exists for each of the nine, and any marked 'needed for messaging' is visible in Customer.io.",Newly found by this audit (8 Sep).
Plus Email,P3,Delete,"A second copy of the reader's email address, on 269 people, kept only for Plus. Your sheet records it as 99.5% identical to the main email.","269 people, 0 empty","Present, no audience group or campaign uses it","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Check the handful where it differs from the main email, keep whichever is correct in the main email field, then stop writing Plus Email and remove it.",Plus Email no longer exists and no Plus message fails to send.,Your sheet row 30.
"The one-off event fields on the person (DRS Payment, DRS Payment Url, order_id, product_name, Quantity, payment_URL, Registered_Date, Lead Type, Newsletter Source, Secondary Email, Verified Email)",P3,Not sure,"Eleven fields that belong to a single purchase or a single event are stored permanently on the person, so each person keeps only the most recent one. DRS Payment and DRS Payment Url are read by five live DRS 2026 campaigns, so they cannot be removed while those campaigns run.",Not present,All eleven present. DRS Payment and DRS Payment Url feed 5 DRS 2026 campaigns; Lead Type feeds the audience group 'LinkedIn Leads'.,"Customer.io, Inc42 workspace (208301) > Data index > Profile attributes. And whoever owns the DRS 2026 campaigns.","DECISION NEEDED. Agree whether a per-event field may live on the person at all. If yes, name each one and its owner. If no, move them onto the event and rebuild the five DRS campaigns first - do not remove them while those campaigns are live.","A written rule exists for per-event fields on a profile, and every remaining one has a named owner.",Newly found by this audit (8 Sep).
