ITM conventions to track clicks,,https://docs.google.com/spreadsheets/d/1mbgbZPQjUgroGo8Zt1ljXZwclNYXuxrRaxJYk_ba38I/edit#gid=332896096,
Interaction,Table View,View of the table at the time of interaction,"[Table, Card]"
Interaction,Pagination Page Number,The current page number in the pagination sequence.,Page Number
Interaction,Section Name,The section type being interacted with,"Company Profile
Financial Tab : {Financial Highlight, Profit&Loss Charts, Balance Sheet Charts, Cash Flow Charts, Financial Ratio Charts},
Funding Tab : {Funding Charts},
Investment Tab : {Investment Charts},
Acquisition Tab : {Acquisition Charts}
Key People: (Key People, Key Exits)
Captable Tab: {Captable Charts, Event Based Captable View}

Industry/Location Profile
Insight Tab : {Funding Charts, Investment Charts, Acquisition By Charts, Acquisition Of Charts}
                       {Funding Table, Investment Table, Acquisitions Of Table, Acquisition By Table}"
Interaction,Tab Name,The name of the sub-tab within a section ,"Name of the Tab in Table : {Eg: Shareholding Split, Valuation Over Years}"
Content,Data Visualisation,The type of data visualization being used ,"[Cumulative,
Year over Year,
Breakdown]"
Content,Metric Type,The type of metric being tracked ,"[Amount,
Count]"
Content,Chart Type,The type of chart displayed ,"[Donut Chart,
Floated Chart,
Combo Chart,
Bar Chart,
Line Chart,
Tablular]"
Content,Date Range,The selected date range for the data or report ,"[Monthly,
Yearly,
Daily,
Weekly,
Quaterly,
Bi-Yearly]"
Interaction,Form Type,The type of form used by the user ,"[Contact Us,
Report Us,
View Report,
Download Report]"
Interaction,Advanced Filter State,The state of advanced filters ,"[Open,
Closed]"
Interaction,Datalab Onboarding State,The current stage of the user in the onboarding process for Datalabs.,"Onboarding Step 2
Onboarding Step 3
Onboarding Complete"
Interaction,Search Type,The type of search being performed ,"[AI Search,
Global Search, 
List Search,
Saved Search,
Quick Add,
Report Search,
Industry Search,
Location Search,
Ask Datalabs]"
Interaction,Search Source,The origin or source of the search query ,"[Global Header (previously ""Header""),
Hero Section (previously ""Home Page""),
Page Header,
Empty Table,
Prompt_Add to List]"
Interaction,Search Content,The content shown in the active search state,"[Suggested Prompts,
Trending Companies,
Trending Investors,
Trending People]"
Interaction,Search Query,The specific search query input by the user.,"[""Input text at time of search""]"
Interaction,Checkbox Type,The type of checkbox used in a form or filter ,"[Single, 
All, 
Maximum, 
Deselect]"
Interaction,Selection Source,The source of the selection ,"[Table Row, 
Table Header,
Page Header]"
Interaction,Selection Status,The status of the selection ,"[True, 
False]"
Interaction,List Interaction Type,The type of interaction with a list ,"[Add To Watchlist,
Remove From Watchlist,
Add To List Click,
Add To List Complete,
Create List Click,
Create List Complete,
Remove Item Click,
Remove Item Complete,
Delete List Click,
Delete List Complete]"
Interaction,List ID,The unique identifier for the list being interacted with.,"[List ID 1, List ID 2...]"
Interaction,List Type,The type of list created or interacted with,"[Company,
Investor,
All]"
Interaction,List Interaction Source,The source of the list interaction,"[Watchlist,
Table Header,
Table Row,
Page Header,
Profile Header,
Quick Add,
Quick Add_Empty Table,
Prompt_Add to List,
Prompt_Create List]"
Interaction,Edit Type,The item type on which edit action is performed ,"[List, 
Saved Search,
Personal Information,
Profile]"
Interaction,Edit Item ID,The unique identifier for the item being edited.,"[List ID, 
Search ID,
User ID]"
Interaction,Edit Field,The specific field being edited,"[Name,
Description,
First Name,
Last Name,
Phone,
Designation,
Job Seniority,
Function,
Company Name,
Company Type,
Industry Type,
State,
Country]"
Interaction,Edit Status,The status of the edit ,"[Start,
Completed,
Canceled]"
Interaction,Edit Source,The source of the edit action ,"[Table Row,
Page Header,
Section Header]"
Interaction,Saved Search Type,The type of saved search ,"[Company, 
Investor]"
Interaction,Search Search Source,The type of filter user interacts with,"[Save Search Click,
Save Search Complete,
Saved Search Updated,
Clear Changes,
Create New Search Click,
Delete Saved Search Click,
Delete Saved Search Complete]"
Interaction,Saved Search ID,The unique identifier for the saved search.,"[Saved Search ID 1, Saved Search ID 2...]"
Interaction,Saved Search Interaction Type,The source from which the saved search originated ,"[Save Search Click,
Save Search Complete,
Saved Search Updated,
Clear Changes,
Create New Search Click,
Delete Saved Search Click,
Delete Saved Search Complete]"
Interaction,Access Type,The type of access being granted or requested ,"[View,
Download]"
Interaction,Access URL,The URL where the access was requested or granted.,"[""inc42.com/report/report-name""]
[""assets.inc42.com/report/report-name""]"
Interaction,Report Name,The name of the report being viewed or downloaded.,[Name of report being interacted with]
Interaction,Set Sidebar State,Action to set the sidebar to a specific state ,"[Open,
Close]"
Interaction,Alert Type,The type of alert being set ,"[Industry Feed,
List,
Saved Search]"
Interaction,Alert Status,The status of the alert,"[True, False]"
Interaction,Alert Content,The specific content of the alert,"[Industry_Feed : Ecommerce, Fintech, Healthtech
List : List ID
Saved Search : Saved Search ID]"
Interaction,Verification Stage,When user submits one step on verification flow,"[Company Profile,
Company Funding,
Company Investments,
Company Acquisitions,
Company Summary]"
Interaction,Verification Type,Data in verification flow,[Company Profile]
Interaction,Button Interaction,The status of the button action ,"[Click,
Enable,
Disable]"
Interaction,Button Type,"[Click,
Enable,
Disable]","[Post Interaction (Event) : Up Vote,
Post Interaction (Event) : Down Vote,
Post Interaction (Event) : Share,
Post Interaction (Event) : Download,

Click Interaction (Event) : Personalise,
Click Interaction (Event) : Download,
Click Interaction (Event) : Follow,
Click Interaction (Event) : Save,
Click Interaction (Event) : Manage Topic,
Click Interaction (Event) : Load More,
Click Interaction (Event) : Filter,
Click Interaction (Event) : Change Password,
Click Interaction (Event) : Help,
Click Interaction (Event) : Credit,
Click Interaction (Event) : Listicle Lock
Click Interaction (Event) : Pro Lock
]"
Interaction,Button Content,"Name of the button clicked (Follow, Filter)","Personalise : {Open, Apply}
Download : {MCA_Incorporation, MCA_Financial, MCA_Annual, MCA_Others, Company Snapshot, Chart, Table}
Follow : {Ecommerce, Fintech, Edtech etc.}
Filter : {View All, Stories, Videos}
Help : {Contact Us, Report An Issue}
Credit : {View Credit, Buy Credit}
Pro Lock: {Company snapshot, Export, Download MCA, Navbar, Advance Filter, Unlock List, Pagination, Download}"
Interaction,Post ID,ID of post on which user interacts on feed,[ 12345 ]
Interaction,Feed Filter Type,Type of filter selected,"signal
user_profile_variable
use_case
company_sector
company_type
funding_stage
portfolio_company
competitor"
Interaction,Feed Filter Value,Value selected in feed filter type,"signal : {Sector & Trend}
user_profile_variable : {Investor}
use_case : {Networking}
company_sector : {Ecommerce}
company_type : {Funded}
funding_stage : {Seed Stage}
portfolio_company : {Flipkart, Zomato, Swiggy}
competitor : {Flipkart, Zomato, Swiggy}"
Interaction,Modal Type,Type of pro lock modal,"[Button,
Banner,
Paywall,
Filter,
Popup,
Free_Tier_Lock]"
Interaction,Modal Name,Name of the pro lock modal,"Button : {Navbar Button, Download Snapshot Button, Download Chart Button, Download Table Button, Download MCA Button, View Full Statement Button, View Tab Button, View Companies}
Banner : {In-section Banner}
Paywall : {Funding Rounds, Investors, Investment Rounds, Acquisition Rounds, Pagination}
Filter : {Industry, Financial, Investment & Acquisition, etc.}
Free_Tier_Lock : {Monthly_Free_Expired}
Popup: {Trial_Started, Reminder_Popup1, Reminder_Popup2, Trial_End_Confirmation, Trial_End_Confirmed, Company snapshot, Export, Download MCA, Navbar, Advance Filter, Unlock List, Pagination, Download,  upgrade_pro_contact
}"
Interaction,Payment Stage,Stages of payment completion for pro membership,"Upgrade_To_Pro_Clicked
Checkout Started
Payment Initiated
Payment Cancelled
Payment Completed
Payment Completed_Backend"
Interaction,Pro Membership Type,Type of pro membership opted by the user,"Datalabs Pro - Annual
Datalabs Pro - Quarter"
Interaction,Pro Cancellation State,Cancellation state for pro membership,"Cancel Membership Initiated
Cancel Membership Confirmed
Disable Auto-Renewal Initiated
Disable Auto-Renewal Confirmed"
Interaction,Plus Cancellation State,Cancellation state for plus membership,"Cancel Membership Initiated
Cancel Membership Confirmed
Disable Auto-Renewal Initiated
Disable Auto-Renewal Confirmed"
Interaction,Credit Payment Stage,Stages of payment completion for credit topup,"Buy Credits
Checkout Started
Payment Cancelled
Payment Completed"
Interaction,Credit Topup Plan,Type of plan opted for credit topup,"100 credit for INR 1000
250 credit for INR 2500
500 credit for INR 4500
1000 credit for INR 8000"
Interaction,Export Stage,Stage of export interaction,"Export Button Click
Export Requested
Export Cancelled
Export Complete
Download File
Download Sample CSV
Insufficient Credits
Export Failed
Not Found"
Interaction,Export Type,Type of export requested,"Custom Results
First N Results
Sample CSV
Contact"
Interaction,Prompt Type,How the prompt is feeded,"{Manual suggested,
AI suggested,
User prompt}"
Interaction,Prompt,The actual prompt fed into the AI Agent,"{Prompt,
Written}"
Interaction,Response Feedback,Feedback submitted by user on querry answer,"{Positive,
Negative}"
Interaction,Interaction Type,Interaction on the AI Agent page,"{New Chat, 
Click}"
Interaction,Click Type,Types of buttons available while using AI agent,"{Source Button, 
Source Link, 
Copy}"
Interaction,File Format,Format of file exported,"xlsx, num"
Interaction,Profiles Exported,Number of entities requested to be exported,eg. 70
Interaction,Scroll Percentage,Percentage of page scrolled,"eg: 25%, 50%, 75%, 90%, 100%"
Interaction,Booking Stage,Stage of booking the demo call,"Started, Completed"
Lifecycle Envelope,product,REQUIRED. The campaign scoping allow-list. Every Datalabs campaign filters on this.,"datalabs_pro
datalabs_pro_contacts
credit_topup"
Lifecycle Envelope,product_id,REQUIRED. WooCommerce product id behind `product`.,"521881 (Pro)
550076-550079 (Contacts addons)
534724 (credit topup)"
Lifecycle Envelope,subscription_id,REQUIRED. Enables per-subscription sequencing and send-once dedupe.,"""557476"""
Lifecycle Envelope,payment_method,"REQUIRED. Mandate-revoked copy must say ""re-authorise"", not ""update card"".","upi_autopay
card
other"
Lifecycle Envelope,currency,"REQUIRED. ISO code, from the order.",INR
Lifecycle Envelope,plan_interval,"REQUIRED. In the ENVELOPE, not the Subscription group: a receipt triggered by pro_billing cannot reach pro_subscription attributes mid-journey (CIO limit, verified 2026-08-07). Never hardcode a cycle in copy — 18% of live subs are non-monthly.","month
quarter
year"
Lifecycle Envelope,plan_interval_count,"REQUIRED. Interval multiplier. Exists because of mis-provisioned day/1, day/3, day/365 subs (E12).",1
Lifecycle Envelope,next_charge_at,"REQUIRED (nullable). In the ENVELOPE: receipts and the mandate-revoked comm render ""next charge on X"" but are triggered by pro_billing, which cannot reach pro_subscription mid-journey. Profile attribute would race the event.",2026-09-06T14:06:16Z
Lifecycle Envelope,occurred_at,"REQUIRED. TRUE event time, not receipt time — webhooks lag and retry.",2026-08-07T14:06:16Z
Lifecycle Envelope,source,REQUIRED. Which system of record emitted it.,"woocommerce
razorpay"
Lifecycle Envelope,schema_version,REQUIRED. Segment Protocols pattern — makes every downstream tally trivial.,2
Subscription,subscription_stage,The business meaning of the state change. NOT a WooCommerce status.,"trial_started
charge_upcoming
cancel_scheduled
mandate_revoked
access_ended_voluntary
access_ended_involuntary
reactivated"
Subscription,trial_end_at,When the 7-day trial ends and the first charge is attempted.,2026-08-13T14:06:16Z
Subscription,current_period_end_at,End of the paid-through period.,2026-09-06T14:06:16Z
Subscription,next_charge_amount,"FROM THE ORDER, never a constant. 31.7% of renewals are a different amount than ₹1,768.82.",1768.82
Subscription,renewal_count,WooCommerce renewal_orders_count. Distinguishes first charge from renewal — in WooCommerce the post-trial first charge IS a renewal order.,"0
1
2"
Subscription,mandate_status,Razorpay autopay mandate. 100 subs have had this revoked externally with NO status change.,"active
revoked
paused
none"
Billing,billing_stage,The business meaning of the payment outcome.,"purchase_succeeded
first_charge_succeeded
renewal_succeeded
first_charge_failed
renewal_failed
checkout_abandoned
refunded"
Billing,order_id,WooCommerce order id.,"""567497"""
Billing,order_type,Parent order (checkout) vs renewal order (recurring charge).,"parent
renewal"
Billing,amount,"Actual amount charged or attempted, from the order. Never a constant.",1768.82
Billing,renewal_count,As above. Present on both events so copy can branch without a join.,"0
1
2"
Billing,failure_reason,Gateway message on failure stages. Empty otherwise.,mandate_revoked_by_customer
Onboarding,onboarding_stage,"Onboarding progress. Adds step_1, absent from the current enum.","step_1
step_2
step_3
completed"
Onboarding,register_source,Journey A scoping — must not fire on generic Inc42 registration.,"datalabs
inc42"
Onboarding,entry_page_type,Journey B vs C assignment. MUST also persist as a user property.,"company_profile
report_profile
company_search
investor_search
other"
Onboarding,registration_page_url,Full URL of the registration page.,https://inc42.com/company/razorpay/
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Colour Code,Feature,,
ABCDEFG,Live Properties,,
ABCDEFG,Backlog,,
ABCDEFG,,,
ABCDEFG,Captable,,
ABCDEFG,,,
ABCDEFG,,,
ABCDEFG,,,
