ID,Priority,Workstream,Task,Why it matters,Size,Done when,Owner,Status,Blocked by
D5,P1,Data,Put Auth0 distinct_id on payment events,"Datalabs shows 278 revenue events against 211 identified persons - payment events carry no email so we cannot join a cancellation to a person. Prerequisite not cleanup.",M,Payment events carry a joinable identity,,Not started,
D6,P1,Data,Confirm whether Woo/Razorpay data is in BigQuery or DB-only,"Determines who can self-serve future pulls.",XS,Answer confirmed,,Not started,
E1,P1,Lists,Contact the 73 revoked-with-no-failed-charge,"Only cohort where we are ahead of the problem. Mandate dead but debit date not reached and they still have full access. Contact BEFORE their next debit date.",S,All 73 contacted; replies logged,,Not started,D2
E2,P1,Lists,Nudge the paused cohort on their resume date only,"Mandate is alive and they chose the reversible option. Send nothing before the resume date.",S,Resume-date nudge scheduled for each,,Not started,C2;D1
E3,P1,Lists,Repair or contact the 9 broken-mandate live subs,"~Rs 15919/mo at risk. Highest value per head of any list. Will expire silently.",S,All 9 repaired or contacted,,Not started,A2
E4,P1,Lists,Fix or notify the 5 of 25 detached trials,"They will never convert regardless of anything else.",XS,All 5 resolved,,Not started,A2
E5,P1,Lists,Log every reply verbatim,"The transcript IS the segmentation and is the only thing that justifies building anything in P2.",S,Reply log exists and is shared,,Not started,E1
F1,P2,Build,Add a route from Datalabs to billing,"Datalabs nav has no plan or account entry anywhere. /my-inc42/my-membership/ exists but shows only an orders table. 33 people already cancel via our own flow; every cancel on our surface is one we can answer.",M,Plan entry live in Datalabs nav,,Not started,P0 complete
F2,P2,Build,Fill the Membership block on /my-inc42/my-membership/,"Currently renders the wrong empty state ('Get started by following any topic'). Needs plan / next debit / amount / method / pause / cancel.",M,Membership block shows real subscription state,,Not started,F1
F3,P2,Build,In-product prompt for pending-cancel members,"Once the external-cancel work ships they keep access to period end and keep using Datalabs daily. Better channel than email and free to reach them. Note pending-cancel is currently 0 across all 378 subs - that is the pre-build state.",M,Prompt live and instrumented,,Not started,External-cancel build live;E5
G1,Decision,Open,Assign an owner to every line in this tracker,"Owner column is deliberately blank. Fill before this circulates.",XS,Every row has an owner,,Open,
G2,Decision,Open,Decide who sends the list emails and under whose name,"Must be a person the recipient could plausibly reply to.",XS,Named sender agreed,,Open,
G3,Decision,Open,Ruling on grace period length,"15 days is set. On monthly billing that is half a cycle of free access after a failed debit. Category floor is 7.",XS,Decision recorded,,Open,
G4,Decision,Open,Agree how this is reported to leadership,"On recovered revenue it is a small number. Framed as evidence for A9 (members renew) and against A10 (org cannot run a recurring-revenue motion) it is the only instrumentation that will produce either.",XS,Framing agreed with Utkarsh,,Open,
