event_group	event_name	display_name	property	trigger_steps	trigger_url	login_state	event_property_groups	custom_event_properties	trigger_identify_call	expected_traits	source	destinations	automatable	test_notes	description	audit_status	audit_date	audit_notes
plus_subscription	Plus Membership Expiry Date	plus_membership_expiry_date	inc42 | datalabs	Open the Plus plan page | start checkout | STOP at the Razorpay screen | verify destination-side only	https://inc42.com/plus/	logged-in	plus	plus_membership_expiry_date:string	Yes	plus_membership_expiry_date = Convert unix to ISO. Do not mix with Pro expiry.	backend	posthog | customerio	manual	Media PH 767 / CIO 1% ; DataLabs PH 162 ; PostHog people: 929 ; blank rate: 87% ; priority P1 ; Your sheet row 13 ; Live sample values: 2025-08-16 5:30:00 ; ⚠ unix-format bugs mixed in (1830352928 / 1904968380)	fix unix-format records	FIX	2026-09-07	Current: PostHog: Plus Membership Expiry Date ; Customer.io: Plus Membership Expiry Date ; PH Main: Plus Membership Expiry Date' (739) rename→'plus_membership_expiry_date' ; CIO Main: Plus Membership Expiry Date' (1,492) rename→'plus_membership_expiry_date' ; 'Plus_Membership_Expiry_Date' (973) rename→'plus_membership_expiry_date' ; CIO DataLabs: — (not in this workspace) -> Expected: plus_membership_expiry_date | Convert unix to ISO. Do not mix with Pro expiry. | fix unix-format records
plus_subscription	Plus Subscription ID	plus_subscription_id	inc42 | datalabs	Open the Plus plan page | start checkout | STOP at the Razorpay screen | verify destination-side only	https://inc42.com/plus/	logged-in	plus	plus_subscription_id:string	Yes	plus_subscription_id = Pick one format and convert. Keep the field. Do not copy onto Pro.	backend	posthog | customerio	manual	Media PH 773 / CIO 1% ; DataLabs PH 162 ; PostHog people: 935 ; priority P1 ; Your sheet row 12 ; Live sample values: CIO: 413231 (numeric) ; ⚠ PH-Main mixed 560614 + 'RCKENPB4OV1O' (alphanumeric)	keep but fix format collision (numeric in CIO vs alphanumeric in PH-Main)	FIX	2026-09-07	Current: PostHog: Plus Subscription ID ; Customer.io: Plus Subscription ID / Plus_Subscription_ID ; PH Main: Plus Subscription ID' (745) rename→'plus_subscription_id' ; CIO Main: Plus Subscription ID' (1,574) rename→'plus_subscription_id' ; 'Plus_Subscription_ID' (1,011) rename→'plus_subscription_id' ; CIO DataLabs: — (not in this workspace) -> Expected: plus_subscription_id | Pick one format and convert. Keep the field. Do not copy onto Pro. | keep but fix format collision (numeric in CIO vs alphanumeric in PH-Main)
pro_subscription	Payment Stage	pro_membership_status	inc42 | datalabs | app	Open the Pro plan page | start checkout | STOP at the Razorpay screen | verify via pro_subscription / pro_billing events	https://inc42.com/pro	logged-in	pro	pro_membership_status:string	Yes	pro_membership_status = Add from billing: active, expired, cancelled. Do not derive from payment_stage.	backend	posthog | customerio	manual	Media Add. payment_stage is not this. ; DataLabs Add. payment_stage is not this. ; App Write same slug ; Your sheet row 21 ; Live sample values: Payment Completed_Backend | Upgrade_To_Pro_Clicked | Upgrade To Pro	Pro parity: replace with pro_membership_status (active/expired/cancelled) mirroring plus_membership_status; funnel-stage values dropped (Utk: 'Pro Membership Status')	FIX	2026-09-07	Current: PH Main: Payment Stage' (159) rename→'payment_stage' ; PH DataLabs: Payment Stage' (334) rename→'payment_stage' ; CIO Main: Payment Stage' (133) rename→'payment_stage' ; CIO DataLabs: Payment Stage' (277) rename→'payment_stage' -> Expected: pro_membership_status | CONFLICT: MASTER - User Properties tab says ALREADY ADDED; this Fixes Plan (carries Utkarsh decisions) says FIX - Fixes Plan taken. | Add from billing: active, expired, cancelled. Do not derive from payment_stage. | Pro parity: replace with pro_membership_status (active/expired/cancelled) mirroring plus_membership_status; funnel-stage values dropped (Utk: 'Pro Membership Status')
professional	Seniority	seniority	inc42 | datalabs	Sign in | open Profile / complete-your-profile | set Designation, Seniority, Function | save | inspect identify()	https://inc42.com/profile/	logged-in	user	seniority:string	Yes	seniority = Map to the 9 buckets. Null NA. Write only seniority.	web | backend	posthog | customerio	auto	Media PH 93,472 / CIO 19% ; DataLabs PH 52,807 / CIO 66% ; PostHog people: 146,279 ; blank rate: 47% ; priority P1 ; Your sheet row 10 ; Live sample values: C suite | Manager | Researcher ; ⚠ variants CXO_Leadership / Junior_Management / 'others' / student	normalize values	FIX	2026-09-07	Current: PostHog: Seniority / seniority ; Customer.io: Seniority ; PH Main: Seniority' (89,354) rename→'seniority' ; PH DataLabs: Seniority' (46,797) rename→'seniority' ; CIO Main: Seniority' (15,180) rename→'seniority' ; CIO DataLabs: Seniority' (6,246) rename→'seniority' -> Expected: seniority | Map to the 9 buckets. Null NA. Write only seniority. | normalize values
company	Company Function into function	Company Function into function	datalabs	Sign in | open Profile | fill Company Name, Website, Sector, Type | save | inspect identify()	https://inc42.com/profile/	logged-in	company	Company Function into function:string	Yes	Company Function into function = Merge into function on DataLabs, then drop Company Function. Media function wins if both exist.	web | backend	posthog | customerio	auto	DataLabs PH 52,707 / CIO 65% ; PostHog people: 52,707 ; blank rate: 20% ; priority P1 ; Your sheet row 3	Merge into function on DataLabs, then drop Company Function. Media function wins if both exist.	MERGE	2026-09-07	Current: PostHog: Company Function ; Customer.io: Company Function -> Expected: Company Function into function | Merge into function on DataLabs, then drop Company Function. Media function wins if both exist.
company	Industry into company_sector	Industry into company_sector	inc42 | datalabs	Sign in | open Profile | fill Company Name, Website, Sector, Type | save | inspect identify()	https://inc42.com/profile/	logged-in	company	Industry into company_sector:string	Yes	Industry into company_sector = Copy onto company_sector, then drop Industry.	web | backend	posthog | customerio	auto	Media PH 7,050 / CIO 10% ; DataLabs PH 52,719 / CIO 65% ; PostHog people: 59,769 ; blank rate: 20% ; priority P1 ; Your sheet row 23	Copy onto company_sector, then drop Industry.	MERGE	2026-09-07	Current: PostHog: Industry ; Customer.io: Industry -> Expected: Industry into company_sector | Copy onto company_sector, then drop Industry.
company	FY25 Revenue	company_revenue_inr	inc42	Sign in | open Profile | fill Company Name, Website, Sector, Type | save | inspect identify()	https://inc42.com/profile/	logged-in	company	company_revenue_inr:string	Yes	company_revenue_inr = CRM enrichment that exists only in Customer.io. Decide whether it belongs in the unified spec at all.	web | backend	customerio	auto	Media CIO 8% ; Newly found by audit ; Live sample values: NOT SAMPLED - Customer.io-only and absent from the profile checked; open a profile that has it to confirm	merge → company_revenue_inr (governed warehouse field; self-declared bands superseded)	MERGE	2026-09-07	Current: Customer.io: company_revenue_inr ; CIO Main: FY25 Revenue' (795) = self-declared revenue bands, inconsistent units ; CIO DataLabs: — (not in this workspace) -> Expected: company_revenue_inr | CONFLICT: MASTER - User Properties tab says NOT SURE; this Fixes Plan (carries Utkarsh decisions) says MERGE - Fixes Plan taken. | CRM enrichment that exists only in Customer.io. Decide whether it belongs in the unified spec at all. | merge → company_revenue_inr (governed warehouse field; self-declared bands superseded)
geo	Last Known City into city	Last Known City into city	inc42	Observation only - set by PostHog GeoIP and Customer.io IP enrichment, not by a user action		any	device	Last Known City into city:string	No	Last Known City into city = Copy onto city, then drop Last Known City.	backend	TODO-confirm	observe	Media Merge. CIO 2504. ; priority P1 ; Your sheet row 26	Copy onto city, then drop Last Known City.	MERGE	2026-09-07	Current: not currently live -> Expected: Last Known City into city | Copy onto city, then drop Last Known City.
identity	LinkedIn URL into linkedin_profile_url	LinkedIn URL into linkedin_profile_url	inc42	Open the registration modal | fill Full Name, Email, Phone | submit | inspect the identify() payload in the network tab	https://inc42.com	logged-out	user	LinkedIn URL into linkedin_profile_url:string	Yes	LinkedIn URL into linkedin_profile_url = Copy person /in/ URLs only. Drop junk. Then drop LinkedIn URL. Do not mix with company_linkedin_url.	web | backend	customerio	auto	Media CIO 1% ; priority P1 ; Your sheet row 27	Copy person /in/ URLs only. Drop junk. Then drop LinkedIn URL. Do not mix with company_linkedin_url.	MERGE	2026-09-07	Current: Customer.io: LinkedIn URL -> Expected: LinkedIn URL into linkedin_profile_url | Copy person /in/ URLs only. Drop junk. Then drop LinkedIn URL. Do not mix with company_linkedin_url.
identity	name	name	inc42 | datalabs	Open the registration modal | fill Full Name, Email, Phone | submit | inspect the identify() payload in the network tab	https://inc42.com	logged-out	user	name:string	Yes	name = Duplicate of full_name. Merge into full_name, then drop. Media lowercase copy is 3 test records.	web | backend	posthog | customerio	auto	Media PH 31,847 / CIO 9% ; DataLabs PH 132 / CIO <1% ; PostHog people: 31,979 ; blank rate: 14% ; Newly found by audit ; Live sample values: Name': Dinesh | Prantika Ghosh | ATUL A T + BLANKS (31,838 set). 'name' lowercase: Anmol-1 Kumar | testet tetete | Max Hedgehog (3 set - TEST DATA) || Real names, but also 'undefined undefined' and usernames like 'ayush4724' (132 set - dirty)	Duplicate of full_name. Merge into full_name, then drop. Media lowercase copy is 3 test records.	MERGE	2026-09-07	Current: PostHog: Name / name ; Customer.io: Name -> Expected: name | Duplicate of full_name. Merge into full_name, then drop. Media lowercase copy is 3 test records.
plus_subscription	Plus Next Bill Date into plus_next_payment_date	Plus Next Bill Date into plus_next_payment_date	inc42	Open the Plus plan page | start checkout | STOP at the Razorpay screen | verify destination-side only	https://inc42.com/plus/	logged-in	plus	Plus Next Bill Date into plus_next_payment_date:string	Yes	Plus Next Bill Date into plus_next_payment_date = Copy onto plus_next_payment_date, then drop Plus Next Bill Date.	backend	posthog	manual	Media PH 457 ; PostHog people: 457 ; priority P2 ; Your sheet row 25	Copy onto plus_next_payment_date, then drop Plus Next Bill Date.	MERGE	2026-09-07	Current: PostHog: Plus Next Bill Date -> Expected: Plus Next Bill Date into plus_next_payment_date | Copy onto plus_next_payment_date, then drop Plus Next Bill Date.
professional	User_Profile_Fixed, User_Profile_Variable, What Discribes you best into user_persona	User_Profile_Fixed, User_Profile_Variable, What Discribes you best into user_persona	inc42 | datalabs	Sign in | open Profile / complete-your-profile | set Designation, Seniority, Function | save | inspect identify()	https://inc42.com/profile/	logged-in	user	User_Profile_Fixed, User_Profile_Variable, What Discribes you best into user_persona:string	Yes	User_Profile_Fixed, User_Profile_Variable, What Discribes you best into user_persona = One field: user_persona. Order: User_Profile_Fixed, then User_Profile_Variable, then What Discribes you best.	web | backend	posthog | customerio	auto	Media CIO <1% ; DataLabs PH 45,328 / CIO 22% ; PH 45,329 / CIO 22% ; PostHog people: 90,657 ; blank rate: 11% ; priority P1 ; Your sheet row 24	One field: user_persona. Order: User_Profile_Fixed, then User_Profile_Variable, then What Discribes you best.	MERGE	2026-09-07	Current: PostHog: User_Profile_Fixed / User_Profile_Variable ; Customer.io: User_Profile_Fixed / User_Profile_Variable / Which describes you best? -> Expected: User_Profile_Fixed, User_Profile_Variable, What Discribes you best into user_persona | One field: user_persona. Order: User_Profile_Fixed, then User_Profile_Variable, then What Discribes you best.
professional	User_Profile_Variable	user_persona	inc42 | datalabs	Sign in | open Profile / complete-your-profile | set Designation, Seniority, Function | save | inspect identify()	https://inc42.com/profile/	logged-in	user	user_persona:string	Yes	user_persona = → user_persona (behavioural) — loses to icp_fixed on conflicts; re-derivable from activity	web | backend	customerio	auto	Live sample values: Founder/CXO | Investor | Market Researcher | Sales & Marketing | Other	→ user_persona (behavioural) — loses to icp_fixed on conflicts; re-derivable from activity	MERGE	2026-09-07	Current: PH DataLabs: User_Profile_Variable' (39,421) rename→'icp_variable' ; CIO Main: — (not in this workspace) ; CIO DataLabs: User_Profile_Variable' (718) rename→'icp_variable' -> Expected: user_persona | → user_persona (behavioural) — loses to icp_fixed on conflicts; re-derivable from activity
app_engagement	briefs_completed_total	briefs_completed_total	app	Observation only - cannot be driven from Chrome. Complete a Brief in the app, then check the App PostHog project (146258)		logged-in	app	briefs_completed_total:string	Yes	briefs_completed_total = Live in production and not in the spec. Add it.	ios | android	posthog | customerio	observe	App PH 341 / CIO 18% ; PostHog people: 341 ; Newly found by audit ; Live sample values: 1 | 3 | 4 | 5 | 9 (337 set)	Live in production and not in the spec. Add it.	ADD	2026-09-07	Current: PostHog: briefs_completed_total ; Customer.io: briefs_completed_total -> Expected: briefs_completed_total | Not in the spec; live in production. Add as briefs_completed_total. | Live in production and not in the spec. Add it.
app_engagement	install_date	install_date	app	Observation only - cannot be driven from Chrome. Complete a Brief in the app, then check the App PostHog project (146258)		logged-in	app	install_date:string	Yes	install_date = Live in production and not in the spec. Add it.	ios | android	posthog | customerio	observe	App PH 1,037 / CIO 90% ; PostHog people: 1,037 ; Newly found by audit ; Live sample values: PH: 2026-08-12 00:00:00 | 2026-08-17 00:00:00 (1,031 set) CIO: 2026-09-04 (date only)	Live in production and not in the spec. Add it.	ADD	2026-09-07	Current: PostHog: install_date ; Customer.io: install_date -> Expected: install_date | Not in the spec; live in production. Add as install_date. | Live in production and not in the spec. Add it.
app_engagement	interest_features	interest_features	app	Observation only - cannot be driven from Chrome. Complete a Brief in the app, then check the App PostHog project (146258)		logged-in	app	interest_features:string	Yes	interest_features = Live in production and not in the spec. Add it.	ios | android	posthog | customerio	observe	App PH 17 / CIO 1% ; PostHog people: 17 ; Newly found by audit ; Live sample values: NOT SAMPLED - CIO-only, 1% of profiles, too rare to hit	Live in production and not in the spec. Add it.	ADD	2026-09-07	Current: PostHog: interest_features ; Customer.io: interest_features -> Expected: interest_features | Not in the spec; live in production. Add as interest_features. | Live in production and not in the spec. Add it.
app_engagement	last_brief_completed_at	last_brief_completed_at	app	Observation only - cannot be driven from Chrome. Complete a Brief in the app, then check the App PostHog project (146258)		logged-in	app	last_brief_completed_at:string	Yes	last_brief_completed_at = Live in production and not in the spec. Add it.	ios | android	posthog | customerio	observe	App PH 341 / CIO 18% ; PostHog people: 341 ; Newly found by audit ; Live sample values: 2026-08-12 12:48:10.724 | 2026-09-01 16:41:40.994 (337 set)	Live in production and not in the spec. Add it.	ADD	2026-09-07	Current: PostHog: last_brief_completed_at ; Customer.io: last_brief_completed_at -> Expected: last_brief_completed_at | Not in the spec; live in production. Add as last_brief_completed_at. | Live in production and not in the spec. Add it.
app_engagement	last_brief_opened_at	last_brief_opened_at	app	Observation only - cannot be driven from Chrome. Complete a Brief in the app, then check the App PostHog project (146258)		logged-in	app	last_brief_opened_at:string	Yes	last_brief_opened_at = Live in production and not in the spec. Add it.	ios | android	posthog | customerio	observe	App PH 341 / CIO 18% ; PostHog people: 341 ; Newly found by audit ; Live sample values: 2026-08-12 12:47:57.853 | 2026-09-01 16:40:39.196 (337 set)	Live in production and not in the spec. Add it.	ADD	2026-09-07	Current: PostHog: last_brief_opened_at ; Customer.io: last_brief_opened_at -> Expected: last_brief_opened_at | Not in the spec; live in production. Add as last_brief_opened_at. | Live in production and not in the spec. Add it.
app_engagement	sector_groups	sector_groups	app	Observation only - cannot be driven from Chrome. Complete a Brief in the app, then check the App PostHog project (146258)		logged-in	app	sector_groups:string	Yes	sector_groups = Live in production and not in the spec. Add it.	ios | android	posthog | customerio	observe	App PH 866 / CIO 45% ; PostHog people: 866 ; Newly found by audit ; Live sample values: CIO: 'AI,Startup Ecosystem' <-- stored as a COMMA-SEPARATED STRING, not an array. Breaks 'contains' segmentation.	Live in production and not in the spec. Add it.	ADD	2026-09-07	Current: PostHog: sector_groups ; Customer.io: sector_groups -> Expected: sector_groups | Not in the spec; live in production. Add as sector_groups. | Live in production and not in the spec. Add it.
app_engagement	streak_current	streak_current	app	Observation only - cannot be driven from Chrome. Complete a Brief in the app, then check the App PostHog project (146258)		logged-in	app	streak_current:string	Yes	streak_current = Live in production and not in the spec. Add it.	ios | android	posthog | customerio	observe	App PH 351 / CIO 18% ; PostHog people: 351 ; Newly found by audit ; Live sample values: 0 | 1 | 2 | 3 | 5 (347 set)	Live in production and not in the spec. Add it.	ADD	2026-09-07	Current: PostHog: streak_current ; Customer.io: streak_current -> Expected: streak_current | Not in the spec; live in production. Add as streak_current. | Live in production and not in the spec. Add it.
app_engagement	streak_max	streak_max	app	Observation only - cannot be driven from Chrome. Complete a Brief in the app, then check the App PostHog project (146258)		logged-in	app	streak_max:string	Yes	streak_max = Live in production and not in the spec. Add it.	ios | android	posthog | customerio	observe	App PH 351 / CIO 18% ; PostHog people: 351 ; Newly found by audit ; Live sample values: 0 | 1 | 2 | 4 | 7 (347 set)	Live in production and not in the spec. Add it.	ADD	2026-09-07	Current: PostHog: streak_max ; Customer.io: streak_max -> Expected: streak_max | Not in the spec; live in production. Add as streak_max. | Live in production and not in the spec. Add it.
app_engagement	streak_tier	streak_tier	app	Observation only - cannot be driven from Chrome. Complete a Brief in the app, then check the App PostHog project (146258)		logged-in	app	streak_tier:string	Yes	streak_tier = Live in production and not in the spec. Add it.	ios | android	posthog | customerio	observe	App PH 351 / CIO 18% ; PostHog people: 351 ; Newly found by audit ; Live sample values: reader | regular (347 set - 'insider' and 'ecosystem_native' NEVER appear yet)	Live in production and not in the spec. Add it.	ADD	2026-09-07	Current: PostHog: streak_tier ; Customer.io: streak_tier -> Expected: streak_tier | Not in the spec; live in production. Add as streak_tier. | Live in production and not in the spec. Add it.
app_engagement	streak_total	streak_total	app	Observation only - cannot be driven from Chrome. Complete a Brief in the app, then check the App PostHog project (146258)		logged-in	app	streak_total:string	Yes	streak_total = Live in production and not in the spec. Add it.	ios | android	posthog | customerio	observe	App PH 341 / CIO 18% ; PostHog people: 341 ; Newly found by audit ; Live sample values: 1 | 2 | 3 | 4 | 5 (337 set)	Live in production and not in the spec. Add it.	ADD	2026-09-07	Current: PostHog: streak_total ; Customer.io: streak_total -> Expected: streak_total | Not in the spec; live in production. Add as streak_total. | Live in production and not in the spec. Add it.
app_engagement	topic_groups	topic_groups	app	Observation only - cannot be driven from Chrome. Complete a Brief in the app, then check the App PostHog project (146258)		logged-in	app	topic_groups:string	Yes	topic_groups = Live in production and not in the spec. Add it.	ios | android	posthog | customerio	observe	App PH 866 / CIO 45% ; PostHog people: 866 ; Newly found by audit ; Live sample values: CIO: 'Business Intelligence,Funding,IPO,Financials,Trending' <-- COMMA-SEPARATED STRING, not an array	Live in production and not in the spec. Add it.	ADD	2026-09-07	Current: PostHog: topic_groups ; Customer.io: topic_groups -> Expected: topic_groups | Not in the spec; live in production. Add as topic_groups. | Live in production and not in the spec. Add it.
