event_group,event_name,display_name,property,trigger_steps,trigger_url,login_state,event_property_groups,custom_event_properties,trigger_identify_call,expected_traits,source,destinations,automatable,test_notes,description,audit_status,audit_date,audit_notes,Where to change it,What exactly to do,Done when
contact,Phone Number,phone_number,inc42,Sign in on inc42.com | open Profile | fill the field | save | watch the identify call in PostHog Live Events and the profile in Customer.io,https://inc42.com/profile/,logged-in,contact,phone_number:string,Yes,phone_number = +91 followed by the 10 digits,web,posthog | customerio,auto,"PostHog 'Phone Number' SINCE 1 JAN 2025: 31,443 people, 21,893 empty (70% of them empty) [all-time for contrast: 32,752 people, 22,594 empty] ; Customer.io 'Phone Number': present - not used by any audience group or campaign ; Customer.io 'phone': present - not used by any audience group or campaign ; live values in 'Phone Number': undefined ~ ""(___) ___-____"" ~ ""(999) 999-9999"" ~ ""9999999999"" ~ ""9876543210"" ~ ""1234567890""","70% empty on recent readers - 31,443 people who joined since 1 Jan 2025 have the field and 21,893 of them have nothing in it. Many of the filled ones are not phone numbers - the empty form mask '(___) ___-____', the sample number '(999) 999-9999', and test values such as 9999999999 and 1234567890.",FIX,2026-09-08,"Current: mask text, sample numbers and test numbers stored as real values -> Expected: real numbers only, all stored the same way.","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Stop sending the form mask and the sample number - if the reader has not typed a real number, leave the field empty. Store every number the same way, as +91 followed by the 10 digits. Keep one field name only.","No value contains a bracket or an underscore, and every value starts with +."
contact,phone,phone_number,inc42,Open a Customer.io profile that has it,,any,contact,phone_number:string,Yes,"phone_number = merged into phone_number, then removed",customerio,customerio,manual,Customer.io 'phone': present - not used by any audience group or campaign,Customer.io has a second phone field alongside 'Phone Number'.,MERGE,2026-09-08,Current: two phone fields -> Expected: one.,"Customer.io, Inc42 workspace (208301) > Data index > Profile attributes.","Copy anything held only in 'phone' into the kept phone field, then remove 'phone'.","Customer.io shows one phone field, not two."
name,First Name,first_name,inc42,Sign in on inc42.com | open Profile | fill the field | save | watch the identify call in PostHog Live Events and the profile in Customer.io,https://inc42.com/profile/,logged-in,name,first_name:string,Yes,"first_name = the reader's first name, or nothing at all",web,posthog | customerio,auto,"PostHog 'First Name' SINCE 1 JAN 2025: 31,443 people, 6,973 empty (22% of them empty) [all-time for contrast: 32,752 people, 7,295 empty] ; Customer.io 'First Name': present - not used by any audience group or campaign ; live values in 'First Name': undefined ~ ""Rahul"" ~ ""Abhishek"" ~ ""Aditya"" ~ ""Amit"" ~ ""Harsh""","22% of the people who have this field have nothing in it, and the word 'undefined' is stored as a value. The First Name and Last Name counts do not match, so about 19,000 people have a surname and no first name.",FIX,2026-09-08,Current: 'undefined' saved as a first name -> Expected: empty when unknown.,"Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.",Send both names together or send neither. Stop sending the word 'undefined'. Empty the fields that hold it in a one-time clean-up. Check the campaign named 'test' before changing this field - it reads first_name.,"The First Name and Last Name counts are within a few percent of each other, and neither holds the word 'undefined'."
name,Last Name,last_name,inc42,Sign in on inc42.com | open Profile | fill the field | save | watch the identify call in PostHog Live Events and the profile in Customer.io,https://inc42.com/profile/,logged-in,name,last_name:string,Yes,"last_name = the reader's surname, or nothing at all",web,posthog | customerio,auto,"PostHog 'Last Name' SINCE 1 JAN 2025: 31,704 people, 8,013 empty (25% of them empty) [all-time for contrast: 51,402 people, 8,644 empty] ; Customer.io 'Last Name': present - not used by any audience group or campaign ; live values in 'Last Name': undefined ~ ""Singh"" ~ ""Kumar"" ~ ""Gupta"" ~ ""Jain"" ~ ""Sharma""",17% empty and the word 'undefined' is stored as a value.,FIX,2026-09-08,Current: 'undefined' saved as a surname -> Expected: empty when unknown.,"Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.",Stop sending the word 'undefined' and empty the fields that hold it in a one-time clean-up.,No Last Name value is the word 'undefined'.
name,Full Name,full_name,inc42,Sign in on inc42.com | open Profile | fill the field | save | watch the identify call in PostHog Live Events and the profile in Customer.io,https://inc42.com/profile/,logged-in,name,full_name:string,Yes,"full_name = first and surname joined, or nothing at all",web,posthog | customerio,auto,"PostHog 'Full Name' SINCE 1 JAN 2025: 31,066 people, 4,307 empty (14% of them empty) [all-time for contrast: 34,063 people, 5,000 empty] ; Customer.io 'Full Name': present - not used by any audience group or campaign ; live values in 'Full Name': undefined undefined ~ ""Rahul Gupta"" ~ ""Tanzil Shandilya"" ~ ""Dhruv Sharma"" ~ ""Abhishek Singh"" ~ ""Abhishek Chaubey""",Holds 'undefined undefined' for readers who never gave a name - and that has gone out in emails as the greeting.,FIX,2026-09-08,Current: 'undefined undefined' -> Expected: empty when unknown.,"Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Stop building this from missing values. If either name is missing, leave the whole field empty. Empty every field currently holding 'undefined undefined'.","No email greeting says 'undefined', and no Full Name value contains that word."
name,Name,full_name,inc42,Sign in on inc42.com | open Profile | fill the field | save | watch the identify call in PostHog Live Events and the profile in Customer.io,https://inc42.com/profile/,logged-in,name,full_name:string,Yes,full_name = removed - it duplicates full_name,web,posthog | customerio,manual,"PostHog 'Name' SINCE 1 JAN 2025: 30,817 people, 4,164 empty (14% of them empty) [all-time for contrast: 32,116 people, 4,453 empty] ; Customer.io 'Name': present - not used by any audience group or campaign ; live values in 'Name': undefined undefined ~ ""Rahul Gupta"" ~ ""Tanzil Shandilya"" ~ ""Abhishek Singh"" ~ ""Rahul Kumar"" ~ ""Abhishek Chaubey""","A straight copy of Full Name with nothing of its own. Among readers who joined since 1 Jan 2025, 30,817 have both, 249 have only Full Name and nobody has only Name - so nothing is lost by removing it.",DELETE,2026-09-08,Current: duplicate field -> Expected: removed.,"Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Stop writing this field and remove it from PostHog and Customer.io. No copying is needed first, because nobody has Name without Full Name.","The field no longer appears in the people list in either tool, and the count of people with a full name is unchanged."
profile,Seniority,seniority,inc42,Sign in on inc42.com | open Profile | fill the field | save | watch the identify call in PostHog Live Events and the profile in Customer.io,https://inc42.com/profile/,logged-in,profile,seniority:string,Yes,seniority = one of the 9 agreed seniority levels,web,posthog | customerio,auto,"PostHog 'Seniority' SINCE 1 JAN 2025: 44,847 people, 31,793 empty (71% of them empty) [all-time for contrast: 93,741 people, 61,996 empty] ; Customer.io 'Seniority': present - not used by any audience group or campaign ; live values in 'Seniority': Founder ~ ""Junior Management"" ~ ""Student"" ~ ""VP/Senior Management"" ~ ""Other"" ~ ""undefined""","Among readers who joined since 1 Jan 2025, 44,847 have this field and 31,793 of them have nothing in it - 71% empty. Real coverage on recent readers is about 13,000. The values that exist are not from the 9 agreed levels and include the word 'undefined'.",FIX,2026-09-08,"Current: free text plus 'undefined', 66% empty -> Expected: one of the 9 agreed levels or empty.","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.",Write the 9 agreed levels down somewhere the developer can see them - they are referred to everywhere and written down nowhere. Change the profile form so it can only send one of those 9. Stop sending 'undefined'. Then map the existing values onto the 9 levels in a one-time clean-up.,"Every value is one of the 9 agreed levels, the word 'undefined' appears zero times, and the people-with-a-value count matches the people-with-the-field count."
profile,Designation,designation,inc42,Sign in on inc42.com | open Profile | fill the field | save | watch the identify call in PostHog Live Events and the profile in Customer.io,https://inc42.com/profile/,logged-in,profile,designation:string,Yes,"designation = one of the agreed job titles, written one way",web,posthog | customerio,auto,"PostHog 'Designation' SINCE 1 JAN 2025: 41,594 people, 38,770 empty (93% of them empty) [all-time for contrast: 103,188 people, 77,526 empty] ; Customer.io 'Designation': present - not used by any audience group or campaign ; live values in 'Designation': founder ~ ""senior-management"" ~ ""junior-management"" ~ ""other"" ~ ""student"" ~ ""Founder""","93% empty on recent readers - the worst field on Media, and getting worse: of the 41,594 people who joined since 1 Jan 2025 and have this field, 38,770 have nothing in it. The values that do exist are written two ways at once, dashed lower case (founder, senior-management, junior-management, student) and normal words (Founder), so the same job is counted twice.",FIX,2026-09-08,"Current: two spellings of every value, 75% empty -> Expected: one agreed list, one spelling.","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.",Pick one way of writing these values and use it everywhere. Change the form so it sends only the agreed list. Stop sending 'undefined'. Then make 'founder' and 'Founder' the same value in a one-time clean-up.,"A count of Designation values shows each job once rather than twice, and no value contains a dash or the word 'undefined'."
profile,Function,function,inc42,Sign in on inc42.com | open Profile | fill the field | save | watch the identify call in PostHog Live Events and the profile in Customer.io,https://inc42.com/profile/,logged-in,profile,function:string,Yes,"function = one of the agreed functions, or the field removed",web,posthog | customerio,auto,"PostHog 'Function' SINCE 1 JAN 2025: 41 people, 10 empty (24% of them empty) [all-time for contrast: 41 people, 10 empty] ; Customer.io 'Function': present - not used by any audience group or campaign ; live values in 'Function': Leadership ~ ""undefined"" ~ ""Others"" ~ ""Consulting"" ~ ""Marketing"" ~ ""Finance & Accounting""","Only 41 people have it, 10 of those are empty, and 'undefined' is one of the values. At this size the field tells you nothing.",FIX,2026-09-08,"Current: 41 people, 'undefined' among the values -> Expected: a meaningful number of people with values from an agreed list, or the field removed.","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Agree the list of functions, change the form to send only those, and stop sending 'undefined'. If it is not going to be collected properly, remove it rather than leave it at 41 people.","The field is either on a meaningful number of people with agreed values, or it no longer exists."
profile,Interests,interests,inc42,Sign in on inc42.com | open Profile | fill the field | save | watch the identify call in PostHog Live Events and the profile in Customer.io,https://inc42.com/profile/,logged-in,profile,interests:list,Yes,interests = each interest stored as its own entry,web,posthog | customerio,manual,"PostHog 'Interests' SINCE 1 JAN 2025: 41 people, 12 empty (29% of them empty) [all-time for contrast: 41 people, 12 empty] ; Customer.io 'Interests': present - not used by any audience group or campaign ; live values in 'Interests': undefined ~ ""[\""Advanced Hardware & Technology\"",\""Aggregator\"",\""AI\"",\""Alternative Investment Platforms\"",\""Analysis Tool\"",\""Asset Management Solutions\"",\""Banking\"",\""Books & Stationary\"",\""Busine","Only 41 people, 12 of them empty. What is stored is one long run of text with every interest joined together, so no audience group can be built on a single interest.",FIX,2026-09-08,Current: one run of joined text -> Expected: separate entries that can be filtered on.,"Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.",Agree the list of allowed interests and write it down. Store each interest as its own separate entry rather than one run of text.,"An audience group can be built on a single interest, and the agreed list is written down."
profile,What Discribes you best,reader_type,inc42,Sign in on inc42.com | open Profile | fill the field | save | watch the identify call in PostHog Live Events and the profile in Customer.io,https://inc42.com/profile/,logged-in,profile,reader_type:string,Yes,"reader_type = one correctly spelt question, kept once",customerio,customerio,manual,Customer.io 'What Discribes you best': present - not used by any audience group or campaign ; Customer.io 'Which describes you best?': present - not used by any audience group or campaign ; Customer.io 'Where is your company today?': present - not used by any audience group or campaign,Three fields ask the same question and this one has a spelling mistake in its name. None of the three is used by an audience group or campaign.,MERGE,2026-09-08,"Current: three near-identical fields, one misspelt -> Expected: one, spelt correctly.","Customer.io, Inc42 workspace (208301) > Data index > Profile attributes.","Decide which single question to keep and give it one correctly spelt name. Copy any answers held only by the other two into it, then remove them.",Customer.io has one field for this question and its name is spelt correctly.
profile,Which describes you best?,reader_type,inc42,Sign in on inc42.com | open Profile | fill the field | save | watch the identify call in PostHog Live Events and the profile in Customer.io,https://inc42.com/profile/,logged-in,profile,reader_type:string,Yes,reader_type = merged into the kept question,customerio,customerio,manual,Customer.io 'Which describes you best?': present - not used by any audience group or campaign,One of the three near-identical questions. See the 'What Discribes you best' row.,MERGE,2026-09-08,Current: duplicate question -> Expected: merged and removed.,"Customer.io, Inc42 workspace (208301) > Data index > Profile attributes.","Copy anything held only here into the kept field, then remove this one.",Customer.io has one field for this question.
profile,Where is your company today?,company_stage,inc42,Sign in on inc42.com | open Profile | fill the field | save | watch the identify call in PostHog Live Events and the profile in Customer.io,https://inc42.com/profile/,logged-in,company,company_stage:string,Yes,company_stage = merged into company_stage,customerio,customerio,manual,Customer.io 'Where is your company today?': present - not used by any audience group or campaign,"Asks the company's stage in words, alongside Company Type and company_stage which ask the same thing.",MERGE,2026-09-08,Current: a third company-stage question -> Expected: one company-stage field.,"Customer.io, Inc42 workspace (208301) > Data index > Profile attributes.","Copy anything held only here into company_stage, then remove this one.",Customer.io has one company-stage field.
company,Company Name,company_name,inc42,Sign in on inc42.com | open Profile | fill the field | save | watch the identify call in PostHog Live Events and the profile in Customer.io,https://inc42.com/profile/,logged-in,company,company_name:string,Yes,"company_name = the company's real name, or nothing",web,posthog | customerio,auto,"PostHog 'Company Name' SINCE 1 JAN 2025: 43,702 people, 18,427 empty (42% of them empty) [all-time for contrast: 105,058 people, 39,443 empty] ; Customer.io 'Company Name': present - not used by any audience group or campaign ; live values in 'Company Name': TBD ~ ""undefined"" ~ ""LensKart"" ~ ""Zepto"" ~ ""Flipkart"" ~ ""Swiggy""","42% empty on recent readers - 43,702 people who joined since 1 Jan 2025 have the field and 18,427 of them have nothing in it. The filled values include 'TBD' and the word 'undefined' alongside real names such as Zepto, Flipkart and Swiggy.",FIX,2026-09-08,"Current: 'TBD' and 'undefined' saved as company names -> Expected: empty when unknown, one spelling per company.","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.",Stop sending 'TBD' and 'undefined' - leave the field empty instead. Trim spaces and make the capitalisation consistent in a one-time clean-up so the same company is not counted twice.,"No value is 'TBD' or 'undefined', and a list of top company names has no duplicate spellings."
company,Company Sector,company_sector,inc42,Sign in on inc42.com | open Profile | fill the field | save | watch the identify call in PostHog Live Events and the profile in Customer.io,https://inc42.com/profile/,logged-in,company,company_sector:string,Yes,company_sector = one of the agreed sectors,web,posthog,auto,"PostHog 'Company Sector' SINCE 1 JAN 2025: 118 people, 1 empty (1% of them empty) [all-time for contrast: 17,583 people, 262 empty] ; live values in 'Company Sector': Other ~ ""FinTech"" ~ ""Ecommerce"" ~ ""Education"" ~ ""Edtech"" ~ ""Media & Entertainment""","This field has effectively stopped being written: only 118 readers who joined since 1 Jan 2025 have it, against 17,583 all-time. Industry is the one the live site writes today. company_sector is still the agreed NAME to keep, but the values must come from Industry, not from here.",MERGE,2026-09-08,"Current: the agreed name is nearly dead (118 recent readers) while the live site writes Industry (7,034 recent readers) -> Expected: one field named company_sector, fed by whatever writes Industry today.","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Keep company_sector as the name. Change whatever writes Industry today to write company_sector instead - Industry is the live field, this one is not. Then copy the existing Industry values across, matching the wording as you go. Agree one written list of sectors first, or the joined field will still hold two spellings.","Industry no longer exists, company_sector is on about 20,300 people, and every value is from the agreed list."
company,Industry,company_sector,inc42,Sign in on inc42.com | open Profile | fill the field | save | watch the identify call in PostHog Live Events and the profile in Customer.io,https://inc42.com/profile/,logged-in,company,company_sector:string,Yes,"company_sector = merged into company_sector, then removed",web,posthog | customerio,manual,"PostHog 'Industry' SINCE 1 JAN 2025: 7,034 people, 4,309 empty (61% of them empty) [all-time for contrast: 7,157 people, 4,374 empty] ; Customer.io 'Industry': present - not used by any audience group or campaign ; live values in 'Industry': undefined ~ ""Others"" ~ ""Fintech"" ~ ""Ecommerce"" ~ ""IT"" ~ ""Investor""","This is the LIVE sector field on Media - 7,034 readers who joined since 1 Jan 2025 have it, against 118 for Company Sector. 61% of them have nothing in it. Nobody has both fields, so the merge is clean, but the direction matters: the code writing this one must be repointed at company_sector.",MERGE,2026-09-08,"Current: the live sector field, 7,034 recent readers, 4,309 of them empty -> Expected: renamed to company_sector, and the near-dead Company Sector retired.","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Change the code that writes Industry so it writes company_sector instead. Copy the existing values across, matching the wording. Only then remove Industry from PostHog and Customer.io.",Industry no longer appears in either tool and no sector count has dropped.
