event_group,event_name,display_name,property,trigger_steps,trigger_url,login_state,event_property_groups,custom_event_properties,trigger_identify_call,expected_traits,source,destinations,automatable,test_notes,description,audit_status,audit_date,audit_notes
content,ResetPassword,ResetPassword,inc42,Open the login modal | click Forgot password | submit a test account's email | confirm the reset-sent state,"https://inc42.com — login modal, forgot password",logged-out,page,(not documented in the master sheet),No,,web,posthog | customerio,manual,"PostHog project 53557 (Editorial Web). UNDETERMINED — not reached by any of the 6 scripted journeys, and its Destinations cell is blank in the master sheet. Capture the full payload so a proper row can be written.",A password reset is initiated,,,
user_engagement,Share,Share,inc42,Open any article | use the share control | complete a share to one named channel (e.g. WhatsApp),https://inc42.com/buzz/,any,content | page,share_platform:string:required:enum[Link|Whatsapp|Email|LinkedIn|Twitter|Facebook],No,,web,posthog | customerio,manual,PostHog project 53557 (Editorial Web). 32/30d — IMPLEMENTED and healthy. The `Share Platform` enum carries all 6 valid values. One of the few web events with no known defect; use it as a control to confirm your capture setup works before chasing broken events.,A share action on an article completes,,,
monetization,Plus Payment Initiated,Plus Payment Initiated,inc42,DO NOT COMPLETE — start an Inc42 Plus checkout and stop at the payment screen | do not submit payment,https://inc42.com/plus/,logged-in,page | user | plus,checkout_state:string | charge_amount:number | charge_currency:string,No,,web,posthog | customerio,manual,"PostHog project 53557 (Editorial Web). 14/30d. STOP AT THE PAYMENT SCREEN — do not submit. This is the ONLY payment-outcome-adjacent event on the site: there is no dedicated `plus_payment_failed`, so a failure cannot be distinguished from any other payment state using this event alone. That gap is the finding.",A payment attempt begins on a Plus purchase,,,
ui_interaction,Private Mode Modal,Private Mode Modal,inc42,Open inc42.com in a private / incognito window | browse until the private-mode modal renders,https://inc42.com — private/incognito browsing,any,page,modal_name:string | modal_type:string,No,,web,posthog | customerio,auto,"PostHog project 53557 (Editorial Web). Live-verified 8 Sep 2026 (90d window). 842,739 events in 90d — the LARGEST non-pageview event on the site, not the '3rd-largest' recorded earlier. The master sheet still lists ZERO destinations for it. It also DOUBLE-FIRES via GTM, up to 4 identical calls within 2 seconds. Open inc42.com in a private window, trigger the modal, and count the duplicates — that count is the finding.",The private/incognito mode modal renders,,,
monetization,Plus Subscribed,Plus Subscribed,inc42,DO NOT TRIGGER — verify destination-side only | in PostHog/Customer.io check occurrences in the last 30 days and inspect a historical payload,https://inc42.com/plus/,logged-in,page | user | plus,plus_membership:string | plus_subscription_id:string | plus_term_id:string | plus_conversion_id:string | charge_amount:number | charge_currency:string,Yes,email | plus_membership | plus_subscription_id,web | backend,posthog | customerio,manual,"PostHog project 53557 (Editorial Web). DO NOT FIRE THIS EVENT. Triggering it fires a real ad-conversion pixel with billing side effects. Verify from stored data only. 10/30d. Known defect: key names drift across the payload — `Plus Next Date` / `Plus Expiry Date` / `Plus ConversionID` are inconsistently named. It also carries the Mixpanel PII code path, though that block is very likely inert because the tag calls a dead Amplitude first and crashes.",A Plus subscription is confirmed,,,
monetization,Plus Checkout,Plus Checkout,inc42,Open the Plus page | select a membership | begin checkout | STOP before payment,https://inc42.com/plus/,logged-in,page | user | plus,membership_type:string:required | term_id:string | checkout_state:string:required:enum[Start Checkout|Submit Payment|Checkout Error],No,,web,posthog | customerio,manual,"PostHog project 53557 (Editorial Web). 117/30d — IMPLEMENTED. `Membership Type`, `Term ID` and `Checkout State` are all valid. Stop before payment; the Start Checkout state is enough to verify this row.",An Inc42 Plus checkout is started,,,
content,Cart Abandon,Cart Abandon,inc42,"Begin a Plus checkout | abandon it without paying | wait, then check Customer.io for the event",https://inc42.com/plus/,logged-in,page | user | plus,(not documented in the master sheet),No,,backend,customerio,manual,"PostHog project 53557 (Editorial Web). Live-verified 8 Sep 2026 (90d window). Neither `Cart Abandon` nor `Cart Abandoned` exists in PostHog over 90 days — check Customer.io, not PostHog. `Cart Abandoned` / `Cart Abandoner` is the Customer.io name; `Cart Abandon` is the master sheet's label. Confirm with the product owner whether the PostHog absence is intentional before logging it as a bug.",A started checkout is abandoned,,,
ui_interaction,Recommendation Click,Recommendation Click,inc42,Open any article | scroll to a recommended / related widget | click a recommended card | let the next page load fully,https://inc42.com/buzz/,any,content | page,recommendation_widget_source:string:enum[In-Article|Article Sidebar|Homepage Sidebar|Post Article] | recommendation_widget_type:string:enum[Trending|Related|Recommended] | recommendation_item_number:number,No,,web,posthog | customerio,manual,"PostHog project 53557 (Editorial Web). Live-verified 8 Sep 2026 (90d window). NOT regressed — 21,639 events in 90d, last event today. The earlier 'zero captures since June 2026' reading came from one scripted browser journey, not from the data; ignore it. Test the payload instead: Recommendation Widget Source, Widget Type and Item Number should all be present. The click navigates away, so if a single test click seems to produce nothing, check sendBeacon on pagehide before concluding anything.",A recommended-content card is clicked,,,
user_engagement,Plus Onboarding,Plus Onboarding,inc42,Register a new account and subscribe path permitting | step through the post-register Plus onboarding | capture each step,https://inc42.com — post-registration onboarding,logged-in,page | user | plus,plus_onboarding_state:string:required:enum[Onboarding Started|Onboarding Step 1 Completed|Onboarding Step 2 Completed|Onboarding Completed],Yes,email | first_name | last_name,web,posthog | customerio,manual,"PostHog project 53557 (Editorial Web). LIKELY LEGACY. Only 32/30d and Plus-only, while a separate `Inc42 Onboarding` event runs at ~5,000/30d — a 100x+ gap that strongly suggests this one is superseded. Test both and compare; a product owner needs to declare which is canonical. CONFIRMED PII LEAK to an undisclosed Mixpanel.",The post-registration Plus onboarding flow progresses,,,
user_engagement,Follow,Follow,inc42,"Sign in | open any company, industry or author page | click Follow | confirm the followed state persists on reload",https://inc42.com — company / industry / author page,logged-in,content | page | user,industry:string,No,,web,posthog | customerio,manual,"PostHog project 53557 (Editorial Web). P0 — NEAR-DEAD at 4 events/30d, despite 'START FOLLOWING' being a headline feature. The spec name is `entity_followed` and it is a north-star event. If your click produces no event, that is the expected (broken) result — record it.  Live-verified 8 Sep 2026 (90d window). 54 events in 90d, last 26 Aug.",A follow action on an entity completes,,,
user_engagement,Unfollow,Unfollow,inc42,Sign in | open an entity you already follow | click Unfollow | confirm the state clears,https://inc42.com — company / industry / author page,logged-in,content | page | user,industry:string,No,,web,posthog | customerio,manual,"PostHog project 53557 (Editorial Web). P0 — DEAD at 1 event/30d. This cascades from Follow being broken: you cannot unfollow what was never recorded as followed. Test Follow first.  Live-verified 8 Sep 2026 (90d window). 3 events in 90d, last 19 Jul.",An unfollow action on an entity completes,,,
monetization,Cancel Plus Membership,Cancel Plus Membership,inc42,DO NOT CONFIRM — on a test Plus account open membership settings and begin cancellation | stop before confirming,https://inc42.com/my-inc42/ — My Membership,logged-in,page | user | plus,plus_cancellation_state:string:required:enum[Cancel Membership Initiated|Cancel Membership Confirmed|Disable Auto-Renewal Initiated|Disable Auto-Renewal Confirmed],No,,web,posthog | customerio,manual,"PostHog project 53557 (Editorial Web). P1 — MISSING. The `Plus Cancellation State` property is entirely absent from production, so Plus churn is unmeasurable. The master sheet does plan this row with the property, so this is a BUILD gap, not a planning gap. Do not confirm a real cancellation.",A Plus membership cancellation is initiated,,,
user_engagement,Save Story,Save Story,inc42,Sign in | open any article | click the Save / bookmark icon | confirm it appears under My Inc42 > Saved Stories | unsave afterwards to reset state,https://inc42.com/buzz/,logged-in,content | page | user,(none listed beyond the group properties),No,,web,posthog | customerio,manual,"PostHog project 53557 (Editorial Web). P0 — only 7 events/30d, near-zero. The properties are fine; the FIRING MECHANISM is what is broken. It also DOUBLE-FIRES via GTM (2 identical calls within 2 seconds observed) — count them. Independent of the App's own story_saved; do not conflate the two.",An article is saved to bookmarks,,,
user_engagement,Unsave Story,Unsave Story,inc42,Sign in | open a saved article | click Save again to unsave | confirm it leaves My Inc42 > Saved Stories,https://inc42.com/buzz/,logged-in,content | page | user,(none listed beyond the group properties),No,,web,posthog | customerio,manual,"PostHog project 53557 (Editorial Web). Live-verified 8 Sep 2026 (90d window). NOT absent — 7 events in 90d, last 2 Sep. Genuinely near-dead, but it does fire, so 'absent from PostHog entirely' is wrong. Expect roughly one event every few days sitewide; your own unsave should register.",A saved article is removed from bookmarks,,,
ui_interaction,Freewall Lock,Freewall Lock,inc42,In a fresh private window read enough articles to hit the register gate | confirm the freewall renders | capture the payload,https://inc42.com — register gate / freewall,logged-out,content | page,modal_name:string:required | modal_type:string,No,,web,posthog | customerio,manual,"PostHog project 53557 (Editorial Web). CONTESTED. 59,561/30d in the warehouse, but the 12-Aug browser walk saw ZERO on lock render and the 23-Aug journey could not make the register gate render at all — so this is 'not tested', not 'confirmed broken'. When it does fire, `Modal Name` coverage is only 2.6% and is flagged as not populating. Getting the gate to render at all is the first result worth reporting.",The register gate / freewall renders,,,
content,Guide View,Guide View,inc42,Open any startup-essential guide or glossary page | confirm it loads,https://inc42.com — guide / startup-essential page,any,content | page,not_queried_state:string,No,,web,posthog | customerio,auto,"PostHog project 53557 (Editorial Web). BROKEN — not firing. Expect nothing.  Live-verified 8 Sep 2026 (90d window). 1 event in 90d, last 11 Aug — effectively dead, confirmed.",A guide page is viewed,,,
content,Report Interaction,Report Interaction,inc42,Open any published Inc42 report page | scroll and interact with it | capture the payload,https://inc42.com — report page,any,content | page,access_type:string | access_url:string | report_name:string,No,,web,posthog | customerio,manual,"PostHog project 53557 (Editorial Web). Live-verified 8 Sep 2026 (90d window). AMBIGUITY RESOLVED — do not treat liveness as contested any more. On WEB this event is DEAD: 1,214 events in 90d but the last one was 2026-07-02. The DataLabs project has its own separately-built `Report Interaction` which IS live (3,664/90d, last 7 Sep). Two independent builds, not one event double-counted. Search for `Report Interaction`; the planned name 'Report View' does not exist anywhere.",A published report is viewed or interacted with,,,
page_view,Scroll Depth,Scroll Depth,inc42,"Open any article | scroll slowly from top to bottom | check PostHog, GA4 and Meta separately for what each received",https://inc42.com/buzz/,any,content | page,depth_percent:number | scroll_percentage:number,No,,web,posthog | customerio,auto,"PostHog project 53557 (Editorial Web). Live-verified 8 Sep 2026 (90d window). The PostHog event is `Scroll Depth` and it has fired exactly ONCE in 90 days, last 2026-07-01 — effectively zero, which is the finding. `Custom Scroll Depth` is a GTM tag name and does not exist in PostHog at all, so do not search for it. Three parallel implementations run outside PostHog: the Custom Scroll Depth GTM tag, a ScrollDepth-Value-Calculator tag that double-fires against it, and two differently-thresholded GA4 events (`scroll` at 90%, `Scroll Depth` at 25/50%). Restoring scroll depth to PostHog is a LOCKED company strategy item, so the master sheet's '(Paused)' label contradicts standing strategy.",An article scroll threshold is crossed,,,
content,Qr Scan,Qr Scan,inc42,Scan an Inc42 QR code from print or an event asset | confirm the destination page loads,https://inc42.com — QR landing,any,page,(none listed beyond the group properties),No,,web,posthog | customerio,manual,PostHog project 53557 (Editorial Web). Confirmed correct in the master sheet's own audit. Needs a physical QR asset to reproduce — mark not tested if none is available.,An Inc42 QR code is scanned,,,
search_action,Search Click,Search Click,inc42,Click the search icon in the header | type 'fintech' | press Enter | click a result | let the destination page load fully,https://inc42.com — header search,any,content | page,query:string | position:number | result_type:string:enum[Post|Company|Author|Industry],No,,web,posthog | customerio,manual,"PostHog project 53557 (Editorial Web). Live-verified 8 Sep 2026 (90d window). NOT dead — 2,057 events in 90d, last event today. The earlier 'zero captures, still not firing' reading came from one scripted journey; ignore it. The live name is `Search Click` — the master sheet's planned 'Search Result Click' does not exist. What to test is the PAYLOAD: Result Type only ever carries 'Post' against 4 planned values, and `query` and `position` are missing. Vendor asymmetry also stands: PostHog gets 11 properties on this click, ads tools get 33.",A search result is opened,,,
search_action,Search Close,Search Close,inc42,Open the header search | close it without submitting a query,https://inc42.com — header search,any,content | page,(not documented in the master sheet),No,,web,posthog,auto,"PostHog project 53557 (Editorial Web). Property mismatch, PostHog only. Capture the full payload so a proper row can be written.",The search overlay is closed,,,
search_action,Search Active,Search Active,inc42,Click the search icon in the header so the search bar takes focus | do not type,https://inc42.com — header search,any,page,search_source:string | surface:string,No,,web,posthog | customerio,auto,"PostHog project 53557 (Editorial Web). 1,607/30d but PARTIAL: only the base property bundle arrives. The `surface` property — the exact dimension this event exists to slice by — is missing. Confirm it is still absent.",The search bar is focused,,,
search_action,Search Completed,Search Completed,inc42,Click the search icon | type 'fintech' | press Enter | wait for results to render | note the result count on screen,https://inc42.com — header search,any,page,search_query:string:required | query:string | search_scope:string | result_count:number,No,,web,posthog | customerio,auto,"PostHog project 53557 (Editorial Web). 8,522/30d but PARTIAL: only `Search Query` is captured. `query`, `search_scope` and `result_count` are all missing — and without result_count the zero-result rate is unmeasurable. Try a nonsense query that returns nothing and confirm no result_count arrives. SEPARATE KNOWN DEFECT: inc42.com article search itself returns nothing (dead Algolia wiring) — a zero-result page may be the search bug, not the tracking bug.",A search query is submitted,,,
content,User Segment,User Segment,inc42,No reliable trigger — check PostHog and Customer.io for recent occurrences rather than attempting to fire it,https://inc42.com,any,page | user,email:string,No,,web,posthog,manual,"PostHog project 53557 (Editorial Web). DEAD-TEST EVENT — roughly 3 hits/90d, fed by the already-removed MoEngage trigger. It sends a raw `Email` property directly, so it is also a PII path. Do not attempt to trigger it; confirm it is no longer wired.",Legacy segmentation event — effectively dead,,,
user_engagement,Login Modal,Login Modal,inc42,"While signed out, click any control that requires auth | confirm the login modal renders | compare what PostHog received against what Meta received",https://inc42.com — login modal,logged-out,page,user_action:string | action:string | domain:string,No,,web,posthog | customerio,auto,"PostHog project 53557 (Editorial Web). P1 — SEVERE VENDOR ASYMMETRY. 11,012/30d, but PostHog receives only {Action, Domain} while Meta receives all 25 editorial properties for the same moment. There is also no dedicated method-choice event: the spec's `sign_in_started` is only inferable from this event's `User Action` = Email/OTP Submit sub-state.",The login modal or auth wall is shown,,,
ui_interaction,Modal Close,Modal Close,inc42,Trigger any modal | close it with the X control | capture the payload,https://inc42.com — any modal overlay,any,page,modal_name:string | modal_type:string,No,,web,posthog | customerio,auto,"PostHog project 53557 (Editorial Web). ~70,000/30d (214,979/90d) — a top-10 volume event with NO row in the master sheet. Note there are THREE separate modal-ended events live at once: this, `Modal Closed`, and the freewall's own dismiss. Record which one your close action produces.",A modal is closed,,,
ui_interaction,Modal Closed,Modal Closed,inc42,Trigger a modal | close it by clicking outside it or pressing Escape | compare against Modal Close,https://inc42.com — any modal overlay,any,page,modal_name:string | modal_type:string,No,,web,posthog | customerio,auto,"PostHog project 53557 (Editorial Web). ~14,000/30d (42,209/90d) — DISTINCT from both `Modal Viewed` and `Modal Close`, and also missing from the master sheet. Three parallel modal-close events is likely unintentional duplication and needs a product-owner look, not just a documentation fix. Test different close gestures and record which name each produces.  Live-verified 8 Sep 2026 (90d window). 42,203 events in 90d, last 26 Aug.",A modal is dismissed,,,
ui_interaction,Modal Clicked,Modal Clicked,inc42,Trigger any modal | click its primary CTA (not the close control) | capture the payload,https://inc42.com — any modal overlay,any,page,modal_name:string | modal_type:string,No,,web,posthog | customerio,auto,"PostHog project 53557 (Editorial Web). ~750/30d (2,243/90d), no master-sheet row. Capture the payload so a proper row can be written.  Live-verified 8 Sep 2026 (90d window). 2,243 events in 90d, last 19 Aug.",A control inside a modal is clicked,,,
user_engagement,Inc42 Onboarding,Inc42 Onboarding,inc42,Register a new account with a disposable email | step through the post-registration onboarding | capture every step,https://inc42.com — post-registration onboarding,logged-in,page | user,(undocumented — capture what is present),Yes,email | first_name | last_name,web,posthog | customerio,manual,"PostHog project 53557 (Editorial Web). LIKELY THE REAL PRODUCTION ONBOARDING. ~5,000/30d (14,960/90d) against Plus Onboarding's 32-139/30d — a 100x+ gap — yet it has NO master-sheet row and no spec mapping. Capture its full payload; a product owner needs to declare it canonical and retire Plus Onboarding. CONFIRMED PII LEAK to an undisclosed Mixpanel.",The post-registration onboarding flow progresses,,,
monetization,Pro Payment,Pro Payment,inc42,"DO NOT COMPLETE — begin a DataLabs Pro purchase and stop at the payment screen | then check whether the event lands in the Media project, the DataLabs project, or both",https://inc42.com/pro,logged-in,page | user | plus,payment_stage:string | pro_membership_type:string | dl_page_type:string | slug:string,No,,backend,posthog | customerio,manual,"PostHog project 53557 (Editorial Web). OWNERSHIP UNRESOLVED. ~180/30d (548/90d) in the MEDIA project, but its properties (`Payment Stage`, `Pro Membership Type`, `DL Page Type`, `Slug`) are all DataLabs/Pro-tier shaped, and a `Pro Payment` row also exists on DataLabs. Check both projects and record where it actually lands — a product owner has to decide which project owns it. Do not submit a real payment.",A DataLabs Pro purchase is initiated,,,
content,dl_event / gtm.js / session_start / first_visit / gtm.timer / user_engagement,dl_event | gtm.js | session_start | first_visit | gtm.timer | user_engagement,inc42,Do not attempt to trigger | search PostHog for these six names and confirm none has fired since 2026-07-04,https://inc42.com,any,page,(GTM/GA4 internal — not real product properties),No,,web,posthog,auto,"PostHog project 53557 (Editorial Web). DEAD-TEST BUNDLE — six GTM/GA4 internal names, 14 hits TOTAL, all on one URL on one day (4 Jul 2026). This is a debug leak from GTM into the PostHog project, not product signal. The only action is to confirm it is no longer wired. Note `first_visit` and `session_start` also appear separately at 1-4/30d as the same GTM-leak pattern.",GTM/GA4 debug names leaking into the PostHog project,,,
monetization,AI Summit team pass purchased,ai_summit_teampass_purchased,inc42,Out of scope for the core taxonomy | check Customer.io for occurrences rather than triggering a real ticket purchase,AI Summit ticketing microsite,any,page | user,(summit ticketing funnel — see the IP - Event tab),No,,backend,customerio,manual,"PostHog project 53557 (Editorial Web). OUT OF THE CORE CONTENT TAXONOMY — this belongs to the summit-ticketing business line documented in the master sheet's `IP - Event` tab, which was deliberately descoped from the analytics audit. Under 1% of Customer.io profiles. Do not purchase a real ticket.",An AI Summit team pass is purchased,,,
monetization,DRS Lead Payment,DRS Lead Payment | DRS_Application,inc42,Out of scope for the core taxonomy | check Customer.io for occurrences rather than submitting a real application,D2C & Retail Summit microsite,any,page | user,(summit lead-gen funnel — see the IP - Event tab),No,,backend,customerio,manual,"PostHog project 53557 (Editorial Web). OUT OF THE CORE CONTENT TAXONOMY — D2C & Retail Summit lead-gen, part of the descoped `IP - Event` business line. Under 1% of Customer.io profiles.",A D2C & Retail Summit lead payment or application is submitted,,,
content,Lead,Lead,inc42,Submit any gated lead-gen form with disposable test data | then check Customer.io for the event,https://inc42.com — gated lead-gen form,any,page | user,(generic lead-gen — payload not documented),Yes,email | full_name | phone_number,web | backend,customerio,manual,"PostHog project 53557 (Editorial Web). Generic lead-gen event, Customer.io only, under 1% of profiles. Capture the payload so a proper row can be written. Use disposable test data — this creates a real Customer.io profile.",A generic lead-gen form is submitted,,,
monetization,Purchase,Purchase,inc42,DO NOT COMPLETE A REAL PURCHASE | inspect a historical payload in Customer.io and check which automations consume it,https://inc42.com — checkout,logged-in,page | user | plus,(payload not documented),No,,backend,customerio,manual,"PostHog project 53557 (Editorial Web). USED IN 6 LIVE CUSTOMER.IO AUTOMATIONS — 1% of profiles. It may represent a genuine conversion and warrant a real spec row, but it has none today. Verify from stored data only; do not fire it, and be aware that changing it touches 6 live automations.",A purchase completes,,,
page_view,Page View test,Page View test,inc42,Do not attempt to trigger | confirm in Customer.io that no new occurrences exist,https://inc42.com,any,page,(test artefact — no real properties),No,,web,customerio,auto,"PostHog project 53557 (Editorial Web). CONFIRMED LEFTOVER TEST DATA, Customer.io only. No action beyond confirming it is not still being written. Safe to delete once confirmed.",Leftover test event — not production signal,,,
monetization,pro_subscription,pro_subscription,datalabs,Backend only — cannot be driven from a browser | inspect a stored payload in PostHog/Customer.io and check every REQUIRED envelope field is present,https://datalabs.inc42.com — WooCommerce / Razorpay webhooks (backend),n/a,lifecycle_envelope | subscription,subscription_stage:string:required:enum[trial_started|charge_upcoming|cancel_scheduled|mandate_revoked|access_ended_voluntary|access_ended_involuntary|reactivated] | trial_end_at:timestamp | current_period_end_at:timestamp | next_charge_amount:number | renewal_count:number | mandate_status:string:required:enum[active|revoked|paused|none],No,,backend,posthog | customerio,observe,"PostHog project 66351 (Inc42 Datalabs | Live). DataLabs has its OWN GTM container and PostHog project — verify there, not in the Media project. ACCESS state changed — one event, `subscription_stage` carries the meaning. NO ADS DESTINATIONS, deliberately: a failed renewal must never fire a Meta/Google conversion. CAMPAIGN BUILD WARNING: never branch a Customer.io campaign on a bare 'performed pro_subscription' condition — it has no attribute filter, so it is true for ANY stage; branch on subscription_stage or a segment. Status is 'renamed, not yet fully live' and it was explicitly DESCOPED from the 29-Aug audit, so its absence from live data is NOT evidence it is broken.",A Pro membership ACCESS state changes,,,
monetization,pro_billing,pro_billing,datalabs,Backend only — cannot be driven from a browser | inspect a stored payload for both a succeeded and a failed stage and confirm billing_stage distinguishes them,https://datalabs.inc42.com — WooCommerce / Razorpay webhooks (backend),n/a,lifecycle_envelope | billing,billing_stage:string:required:enum[purchase_succeeded|first_charge_succeeded|renewal_succeeded|first_charge_failed|renewal_failed|checkout_abandoned|refunded] | order_id:string:required | order_type:string:enum[parent|renewal] | amount:number:required | renewal_count:number | failure_reason:string,No,,backend,posthog | customerio,observe,"PostHog project 66351 (Inc42 Datalabs | Live). DataLabs has its OWN GTM container and PostHog project — verify there, not in the Media project. MONEY moved, or failed to. NO ADS DESTINATIONS, deliberately. CAMPAIGN BUILD WARNING: a bare Customer.io 'performed pro_billing' condition is TRUE for renewal_failed as well as renewal_succeeded — it cannot tell success from failure. Always branch dunning/win-back logic on `billing_stage`, never on the bare event name; exit a grace sequence on pro_subscription_status != past_due. `amount` must come FROM THE ORDER, never a constant. Renamed, not yet fully live, and DESCOPED from the 29-Aug audit.",A Pro membership charge succeeds or fails,,,
