id,date,title,url,development_type,primary_industry,primary_company,second_company,parent_category,story_type,company_type,shelf_life,user_needs,impact_score
571230,2026-09-04T11:34:11,PhysicsWallah Shares Jump 6% As Motilal Oswal Sets ₹200 Target,https://inc42.com/buzz/physicswallah-shares-jump-6-as-motilal-oswal-sets-%e2%82%b9200-target/,Business Updates,,physicswallah,,News,Others,Listed Startup,3 Days,Inform Me,0.37
571226,2026-09-04T11:28:57,"RentoMojo Sets Price Band At ₹384-₹404 For ₹1,256 Cr IPO",https://inc42.com/buzz/rentomojo-sets-price-band-at-%e2%82%b9384-%e2%82%b9404-for-%e2%82%b91256-cr-ipo/,Startup IPO,,rentomojo,,News,Others,Late Stage Startup,3 Days,Inform Me,0.767
571193,2026-09-04T08:00:43,"RentoMojo Files RHP, Uber India Axes 200 Jobs & More",https://inc42.com/buzz/rentomojo-files-rhp-uber-india-axes-200-jobs-more/,Startup IPO,,rentomojo,,News,Inc42 Daily Brief,Late Stage Startup,3 Days,Inform Me,0.613
571213,2026-09-04T03:47:58,Leanwatts Bags $2 Mn To Build Portable EV Chargers In India,https://inc42.com/buzz/leanwatts-bags-2-mn-to-build-portable-ev-chargers-in-india/,Startup Funding & Investments,,tbd,,News,Others,Early Stage Startup,3 Days,Inform Me,0.43
571206,2026-09-04T02:43:17,"RentoMojo’s FY26 Profit Zooms 142% YoY To ₹104 Cr, Revenue Up 46%",https://inc42.com/buzz/rentomojos-fy26-profit-zooms-142-yoy-to-%e2%82%b9104-cr-revenue-up-46/,Startup Financials,,rentomojo,,News,Series,Late Stage Startup,3 Days,Inform Me,0.554
571180,2026-09-04T00:07:51,"Cars24 Trims FY26 Net Loss By 19% YoY To ₹441 Cr, Revenue Slides 18%",https://inc42.com/buzz/cars24-trims-fy26-net-loss-by-19-yoy-to-%e2%82%b9441-cr-revenue-slides-18/,Startup Financials,,cars24,,News,Series,Late Stage Startup,3 Days,Inform Me,0.585
571165,2026-09-03T23:30:17,Ultrahuman Bags $70 Mn To Build An Integrated Healthtech Platform,https://inc42.com/buzz/ultrahuman-bags-70-mn-to-build-an-integrated-healthtech-platform/,Startup Funding & Investments,,ultrahuman,,News,Others,Late Stage Startup,3 Days,Inform Me,0.631
571174,2026-09-03T22:32:31,"RentoMojo Files RHP, Trims OFS Component To 2.7 Cr Shares",https://inc42.com/buzz/rentomojo-files-rhp-trims-ofs-to-2-7-cr-shares/,Startup IPO,,rentomo,,News,Others,Late Stage Startup,3 Days,Inform Me,0.613
571164,2026-09-03T21:59:03,"SoftBank Offloads Meesho Stake Worth ₹1,650 Cr",https://inc42.com/buzz/softbank-offloads-meesho-stake-worth-%e2%82%b91650-cr/,Business Updates,,meesho,,News,Spot News,Listed Startup,3 Days,Inform Me,0.531
571159,2026-09-03T21:10:34,"Furlenco’s FY26 Profit Surges Multifold To ₹59.5 Cr, Revenue Up 62% YoY",https://inc42.com/buzz/furlencos-fy26-profit-surges-multifold-to-%e2%82%b959-5-cr-revenue-up-62-yoy/,Startup Financials,,furlenco,,News,Others,Late Stage Startup,3 Days,Inform Me,0.542
571157,2026-09-03T20:43:32,PayPal’s Global Mass Layoffs Impact 220 Indian Employees,https://inc42.com/buzz/paypals-global-mass-layoffs-impact-220-indian-employees/,People & Culture,,TBD,,News,Others,International Company,3 Days,Inform Me,0.258
571141,2026-09-03T19:12:36,KKR Backs BookMyShow As Live Entertainment Becomes Its Next Growth Engine,https://inc42.com/features/kkr-backs-bookmyshow-as-live-entertainment-becomes-its-next-growth-engine/,,,bookmyshow,,In-Depth,Others,Late Stage Startup,7 Days,Inform Me,0.438
571096,2026-09-03T18:38:10,"India’s Stratosphere Is Up For Grabs, Can Red Balloon Make The Uncharted Skies Commercially Viable?",https://inc42.com/startups/indias-stratosphere-is-up-for-grabs-can-red-balloon-make-the-uncharted-skies-commercially-viable/,,,tbd,,Startup Stories,Others,Early Stage Startup,3 Days,Give Me Perspective,0.207
571117,2026-09-03T18:14:34,Swiggy Narrows CREW’s Focus To Travel After Year-Long Concierge Pilot,https://inc42.com/buzz/swiggy-narrows-crews-focus-to-travel-after-year-long-concierge-pilot/,Business Updates,,swiggy,,News,Spot News,Listed Startup,3 Days,Inform Me,0.37
571132,2026-09-03T18:10:44,"Alipay+’s UPI Linkup Stalled Over Security, Data Concerns: Report",https://inc42.com/buzz/alipays-upi-linkup-stalled-over-security-data-concerns-report/,Business Updates,,TBD,,News,Others,Government,3 Days,Inform Me,0.245
571115,2026-09-03T17:56:28,"As Enterprise AI Starts Charging For Work, Owning The Outcomes Becomes The Contest",https://inc42.com/resources/as-enterprise-ai-starts-charging-for-work-owning-the-outcomes-becomes-the-contest/,Industry Trends,AI,,,Resources,Others,,3 Days,Inform Me,0.275
571123,2026-09-03T17:55:15,slice Eyes $100 Mn Funding At 60% Valuation Cut As Bank Valuation Takes Shape,https://inc42.com/buzz/slice-eyes-100-mn-funding-at-60-valuation-cut-as-bank-valuation-takes-shape/,Startup Funding & Investments,,slicepay,,News,Others,Late Stage Startup,3 Days,Inform Me,0.639
571107,2026-09-03T15:38:44,"Zerodha Gets SEBI Nod For Merchant Banking, To Focus On New-Age IPOs",https://inc42.com/buzz/zerodha-gets-sebi-nod-for-merchant-banking-to-focus-on-new-age-ipos/,Business Updates,,zerodha,,News,Others,Late Stage Startup,3 Days,Inform Me,0.333
571097,2026-09-03T15:13:35,Everstone Capital-Backed Wingify Ropes In Ex-Dayforce Mehernaz Dalal As CFO,https://inc42.com/buzz/everstone-capital-backed-wingify-ropes-in-ex-dayforce-mehernaz-dalal-as-cfo/,People & Culture,,wingify,,News,Others,Growth Stage Startup,3 Days,Inform Me,0.27
571087,2026-09-03T14:47:07,Simple Energy Catches The Mass-Market Wave,https://inc42.com/features/simple-energy-catches-the-mass-market-wave/,,,simple-energy,,In-Depth,Others,Growth Stage Startup,3 Days,Inform Me,0.375
571080,2026-09-03T14:11:03,NCLT Orders Status Quo On BYJU’S Assets Sold For ₹16 Cr,https://inc42.com/buzz/nclt-orders-status-quo-on-byjus-assets-sold-for-%e2%82%b916-cr/,Controversies,,byjus,,News,Others,Late Stage Startup,3 Days,Inform Me,0.514
571075,2026-09-03T13:20:02,D2C Smart Crib Brand Cradlewise Raises $12 Mn To Expand Product Portfolio,https://inc42.com/buzz/d2c-smart-crib-brand-cradlewise-raises-12-mn-to-expand-product-portfolio/,Startup Funding & Investments,,cradlewise,,News,Others,Growth Stage Startup,3 Days,Inform Me,0.531
571066,2026-09-03T12:42:40,The Ayurveda Co Shuts Down After Overexpansion Derails Business,https://inc42.com/buzz/the-ayurveda-co-shuts-down-after-overexpansion-derails-business/,Controversies,,the-ayurveda-co,,News,Others,Growth Stage Startup,3 Days,Inform Me,0.39
571056,2026-09-03T12:20:27,Inside Yes Madam’s Bet To Own The Full At-Home Beauty Stack,https://inc42.com/buzz/inside-yes-madams-bet-to-own-the-full-at-home-beauty-stack/,Business Updates,,yes-madam,,News,BrandLabs,Growth Stage Startup,14 Days,Inform Me,0.345
571052,2026-09-03T11:59:59,Uber To Lay Off 200-250 Employees In India Amid Global Restructuring,https://inc42.com/buzz/uber-to-lay-off-200-250-employees-in-india-amid-global-restructuring/,Startup Layoffs,,uber-india,,News,Others,International Company,3 Days,Inform Me,0.378
571034,2026-09-03T08:00:05,"Flipkart’s Microdrama Foray, Purple Style Labs’ IPO & More",https://inc42.com/buzz/flipkarts-microdrama-foray-purple-style-labs-ipo-more/,Business Updates,,flipkart,,News,Inc42 Daily Brief,Late Stage Startup,3 Days,Inform Me,0.333
571028,2026-09-02T23:59:33,Adobe Acquires Peak XV-Backed AI Martech Startup Rilo,https://inc42.com/buzz/adobe-acquires-peak-xv-backed-ai-martech-startup-rilo/,Startup Mergers & Acquisitions,,TBD,,News,Others,International Company,3 Days,Inform Me,0.498
571023,2026-09-02T20:07:11,Alpha Wave Sells Pine Labs Stake Worth ₹550 Cr,https://inc42.com/buzz/alpha-wave-sells-pine-labs-stake-worth-%e2%82%b9550-cr/,Business Updates,,pine-labs,,News,Spot News,Listed Startup,3 Days,Inform Me,0.507
570942,2026-09-02T19:11:09,[Update] Pernia’s Pop-Up Shop Parent IPO Closes With 1.29X Oversubscription  ,https://inc42.com/buzz/pernias-pop-up-shop-parent-ipo-subscribed-37-on-final-bidding-day/,Startup IPO,,pernias-pop-up-shop,,News,Others,Late Stage Startup,3 Days,Inform Me,0.613
571012,2026-09-02T18:35:24,AI Infra Provider Yotta Eyes $1.5 Bn IPO By March 2027: Report,https://inc42.com/buzz/ai-infra-provider-yotta-eyes-1-5-bn-ipo-by-march-2027-report/,Startup IPO,,yotta-infrastructure,,News,Spot News,Growth Stage Startup,3 Days,Inform Me,0.75
570989,2026-09-02T17:27:01,Flipkart Eyes Microdrama Entry Amid Diversification Push,https://inc42.com/buzz/flipkart-eyes-microdrama-entry-amid-diversification-push/,Business Updates,,flipkart,,News,Others,Late Stage Startup,3 Days,Inform Me,0.333
570994,2026-09-02T17:18:57,Simple Energy Launches Wave Family Escooter At ₹1.1 Lakh,https://inc42.com/buzz/simple-energy-launches-wave-family-escooter-at-%e2%82%b91-1-lakh/,Business Updates,,simple-energy,,News,Others,Growth Stage Startup,3 Days,Inform Me,0.27
570990,2026-09-02T17:01:37,"Pine Labs Appoints Ex-Amazon, Razorpay Executive Jayaram Karthik As COO",https://inc42.com/buzz/pine-labs-appoints-ex-amazon-razorpay-executive-jayaram-karthik-as-coo/,People & Culture,,pine-labs,,News,Others,Listed Startup,3 Days,Inform Me,0.37
570980,2026-09-02T15:57:38,Inside 88-Year-Old Jagdish Farshan’s ₹43.5 Cr Bet On Quick Commerce,https://inc42.com/buzz/inside-88-year-old-jagdish-farshans-%e2%82%b943-5-cr-bet-on-quick-commerce/,Startup Funding & Investments,,jagdish farshan,,News,Others,Indian Corporates,3 Days,Inform Me,0.537
570967,2026-09-02T15:06:17,Quick Commerce Supply Chain Startup DocPharma Nets $2 Mn For Expansion,https://inc42.com/buzz/quick-commerce-supply-chain-startup-docpharma-nets-2-mn-for-expansion/,Startup Funding & Investments,,docpharma,,News,Others,Early Stage Startup,3 Days,Inform Me,0.43
570951,2026-09-02T13:24:30,"Aeron Systems Raises ₹45 Cr To Scale Navigation, Weather-Monitoring Systems",https://inc42.com/buzz/aeron-systems-raises-%e2%82%b945-cr-to-scale-navigation-weather-monitoring-systems/,Startup Funding & Investments,,aeron systems,,News,Others,Late Stage Startup,3 Days,Inform Me,0.576
570943,2026-09-02T12:45:11,Byju Raveendran Offers Aakash Shares To Settle Qatar Holding’s $235 Mn Claim,https://inc42.com/buzz/byju-raveendran-offers-aakash-shares-to-settle-qatar-holdings-235-mn-claim/,Controversies,,byjus,,News,Others,Late Stage Startup,3 Days,Inform Me,0.618
570926,2026-09-02T11:31:09,Eutelsat OneWeb Seeks Urgent Security Nod To Launch Satcom Services In India: Report,https://inc42.com/buzz/eutelsat-oneweb-seeks-urgent-security-nod-to-launch-satcom-services-in-india-report/,Government & Policies,,TBD,,News,Others,International Company,3 Days,Inform Me,0.378
570882,2026-09-02T11:00:14,The Ad Break Comes To AI,https://inc42.com/features/the-ad-break-comes-to-ai/,,AI,,,In-Depth,Series,,14 Days,Inform Me,0.3
570907,2026-09-02T08:00:09,"Edtech’s Big Consolidation, ESDS’ Bumper IPO & More",https://inc42.com/buzz/edtechs-big-consolidation-esds-bumper-ipo-more/,Startup Mergers & Acquisitions,,unacademy,,News,Inc42 Daily Brief,Late Stage Startup,3 Days,Inform Me,0.573
570916,2026-09-02T04:30:04,"JioHotstar Rolls Out Services In The UK, Canada and Singapore",https://inc42.com/buzz/jiohotstar-rolls-out-services-in-the-uk-canada-and-singapore/,Business Updates,,jio-star,,News,Others,Indian Corporates,3 Days,Inform Me,0.295
570900,2026-09-02T01:10:16,"Oracle To Lay Off Another 3,000 Employees In India: Report",https://inc42.com/buzz/oracle-to-lay-off-another-3000-employees-in-india-report/,Controversies,,TBD,,News,Others,International Company,3 Days,Inform Me,0.378
570871,2026-09-01T21:46:18,Masters’ Union Secures University Status From Haryana Govt,https://inc42.com/buzz/masters-union-secures-university-status-from-haryana-govt/,Business Updates,,TBD,,News,Spot News,Early Stage Startup,3 Days,Inform Me,0.207
570863,2026-09-01T21:30:25,InsuranceDekho + RenewBuy: Ankit Agrawal On Making Of A Pan-India Insurance Distribution Giant,https://inc42.com/features/insurancedekho-renewbuy-ankit-agrawal-on-making-of-a-pan-india-insurance-distribution-giant/,,,insurancedekho,,In-Depth,Others,Growth Stage Startup,14 Days,Inform Me,0.375
570814,2026-09-01T20:12:02,30 Startups To Watch: Startups That Caught Our Eye In August 2026,https://inc42.com/startups/30-startups-to-watch-startups-that-caught-our-eye-in-august-2026/,,Startup Ecosystem,,,Startup Stories,Series,,30 Days,Inform Me,0.27
570830,2026-09-01T19:34:29,Minimac Systems Raises ₹30 Cr To Scale Lubricant Recycling Infrastructure,https://inc42.com/buzz/minimac-systems-raises-%e2%82%b930-cr-to-scale-lubricant-recycling-infrastructure/,Startup Funding & Investments,,minimac-systems,,News,Others,Growth Stage Startup,3 Days,Inform Me,0.505
570744,2026-09-01T19:06:57,[Update] ESDS IPO Closes With 135.9X Oversubscription,https://inc42.com/buzz/esds-ipo-subscribed-42-7x-on-day-3-nii-portion-booked-126x/,Startup IPO,,tbd,,News,Others,Late Stage Startup,3 Days,Inform Me,0.613
570771,2026-09-01T18:25:18,[Update] Pernia’s Pop Up Shop Parent IPO: Issue Subscribed 24% On Day 2,https://inc42.com/buzz/pernias-pop-up-shop-parent-ipo-issue-subscribed-20-on-day-2-so-far/,Startup IPO,,purple-style-labs,,News,Others,Late Stage Startup,3 Days,Inform Me,0.613
570804,2026-09-01T17:58:49,Icertis Replaced CEO After Whistleblower Alleged Favouritism: Report,https://inc42.com/buzz/icertis-replaced-ceo-after-whistleblower-alleged-favouritism-report/,Controversies,,icertis,,News,Spot News,International Company,3 Days,Inform Me,0.378
570790,2026-09-01T16:54:52,Whatfix Cofounder Khadim Batti Passes Away,https://inc42.com/buzz/whatfix-cofounder-khadim-batti-passes-away/,People & Culture,,whatfix,,News,Others,Late Stage Startup,3 Days,Inform Me,0.333
570791,2026-09-01T16:51:03,VinFast Halts Cars Production In India To Reassess Costs: Report,https://inc42.com/buzz/vinfast-halts-cars-production-in-india-to-reassess-costs-report/,Business Updates,,TBD,,News,Others,International Company,3 Days,Inform Me,0.258
570785,2026-09-01T16:27:58,Meta Pulls 39 Scam Ads Promoting Malicious Porn Apps After India’s Warning,https://inc42.com/buzz/meta-pulls-39-scam-ads-promoting-malicious-porn-apps-after-indias-warning/,Controversies,,tbd,,News,Others,International Company,3 Days,Inform Me,0.378
570783,2026-09-01T16:09:59,NPCI To Launch Agentic Payments On UPI: Report,https://inc42.com/buzz/npci-to-launch-agentic-payments-on-upi-report/,Government & Policies,Digital Payments,,,News,Spot News,,3 Days,Inform Me,0.315
570767,2026-09-01T14:03:47,Niyo To Acquire Capital India’s RemitX Forex Business For ₹11.4 Cr,https://inc42.com/buzz/niyo-to-acquire-capital-indias-remitx-forex-business-for-%e2%82%b911-4-cr/,Startup Mergers & Acquisitions,,niyo-solutions,,News,Others,Late Stage Startup,3 Days,Inform Me,0.627
570754,2026-09-01T13:49:44,Alteon Raises $2.5 Mn To Develop Long-Endurance Autonomous Aircraft,https://inc42.com/buzz/alteon-raises-2-5-mn-to-develop-long-endurance-autonomous-aircraft/,Startup Funding & Investments,,alteon,,News,Others,Early Stage Startup,3 Days,Inform Me,0.435
570749,2026-09-01T13:27:14,From $3.5 Bn To $200 Mn: upGrad Completes Unacademy Acquisition,https://inc42.com/buzz/from-3-5-bn-to-200-mn-upgrad-completes-unacademy-acquisition/,Startup Mergers & Acquisitions,,unacademy,,News,Others,Late Stage Startup,3 Days,Inform Me,0.772
570739,2026-09-01T11:56:11,Kepler Aerospace Raises $8 Mn To Launch Six Autonomous Surveillance Satellites,https://inc42.com/buzz/kepler-aerospace-raises-8-mn-to-launch-six-autonomous-surveillance-satellites/,Startup Funding & Investments,,kepler aerospace,,News,Others,Growth Stage Startup,3 Days,Inform Me,0.522
570735,2026-09-01T11:20:29,UPI Transactions Rise 4% MoM To Record 24.51 Bn In August,https://inc42.com/buzz/upi-transactions-rise-4-mom-to-record-24-51-bn-in-august/,Government & Policies,,TBD,,News,Others,Government,3 Days,Inform Me,0.365
570719,2026-09-01T11:00:15,The Festive Delivery Squeeze ,https://inc42.com/features/the-festive-delivery-squeeze/,,Ecommerce,,,In-Depth,Series,,3 Days,Equip Me,0.3
570664,2026-09-01T10:30:57,Yuma Energy Bags $35 Mn To Expand Its Battery Swapping Network,https://inc42.com/buzz/yuma-energy-bags-35-mn-to-expand-its-battery-swapping-network/,Startup Funding & Investments,,yuma-energy,,News,Others,Early Stage Startup,3 Days,Inform Me,0.491
570698,2026-09-01T08:05:03,"Zepto’s New Game Plan, Layoffs At Zomato & More",https://inc42.com/buzz/zeptos-new-game-plan-layoffs-at-zomato-more/,Business Updates,,zepto,,News,Inc42 Daily Brief,Late Stage Startup,3 Days,Inform Me,0.333
570691,2026-09-01T08:00:28,Zenergize Bags $4 Mn To Scale Production Of Its EV Chargers,https://inc42.com/buzz/zenergize-bags-4-mn-to-boost-production-of-its-ev-chargers/,Startup Funding & Investments,,zenergize,,News,Others,Early Stage Startup,3 Days,Inform Me,0.445
570644,2026-09-01T07:00:27,"Zepto’s Retention Play: Fewer Discounts, Premium Carts & A Paid Club",https://inc42.com/features/zeptos-retention-play-fewer-discounts-premium-carts-a-paid-club/,,,zepto,,In-Depth,Follow Up,Late Stage Startup,3 Days,Give Me Perspective,0.438
570669,2026-09-01T06:00:04,Exclusive: MS Dhoni Joins Edtech Startup SpeakX’s Cap Table,https://inc42.com/buzz/exclusive-ms-dhoni-joins-edtech-startup-speakxs-cap-table/,Startup Funding & Investments,,speakx,,News,Exclusive,Growth Stage Startup,3 Days,Inform Me,0.58
570707,2026-09-01T04:50:08,"BNP Paribas, Societe Generale & Millennium Sell Lenskart Shares Via ₹2,670 Cr Block Deals",https://inc42.com/buzz/bnp-paribas-societe-generale-millennium-sell-lenskart-shares-via-%e2%82%b92670-cr-block-deals/,Business Updates,,lenskart,,News,Others,Listed Startup,3 Days,Inform Me,0.541
570685,2026-09-01T01:35:10,BlackRock Buys Ather Shares Worth ₹445 Cr,https://inc42.com/buzz/blackrock-buys-ather-shares-worth-%e2%82%b9445-cr/,Business Updates,,ather-energy,,News,Others,Listed Startup,3 Days,Inform Me,0.502
570679,2026-09-01T01:01:47,"BNP Paribas & Millennium Sell 10 Cr Eternal Shares In ₹3,265 Cr Block Deals",https://inc42.com/buzz/bnp-paribas-millennium-sell-10-cr-eternal-shares-in-%e2%82%b93265-cr-block-deals/,Business Updates,,zomato,,News,Others,Listed Startup,3 Days,Inform Me,0.546
570658,2026-08-31T21:25:43,E2W Registrations Contract By Over 16% In August; Ola Electric’s Market Share Improves,https://inc42.com/buzz/e2w-registrations-contract-by-over-16-in-august-ola-electrics-market-share-improves/,Industry Trends,Electric Vehicles,,,News,Others,,3 Days,Inform Me,0.275
570653,2026-08-31T20:18:05,"LEAP India Q1 Profit Jumps 30% YoY To ₹25 Cr, Revenue Up 19%",https://inc42.com/buzz/leap-india-q1-profit-jumps-30-yoy-to-%e2%82%b925-cr-revenue-up-19/,Startup Financials,,leap-india,,News,Series,Listed Startup,3 Days,Inform Me,0.561
570631,2026-08-31T18:31:25,"Thank You, Sponsors, For Powering Inc42’s D2C & Retail Summit 2026",https://inc42.com/buzz/thank-you-sponsors-for-powering-inc42s-d2c-retail-summit-2026/,Business Updates,,,,News,Inc42 Announcements,,14 Days,Inform Me,0.27
570592,2026-08-31T18:30:22,[Update] Purple Style Labs IPO Stays 8% Subscribed At Close Of Day 1,https://inc42.com/buzz/pernias-pop-up-parent-ipo-issue-subscribed-8-on-day-1-till-now/,Startup IPO,,purple-style-labs,,News,Others,Late Stage Startup,3 Days,Inform Me,0.613
570627,2026-08-31T17:48:10,PhonePe Launches UPI Payments For Feature Phones,https://inc42.com/buzz/phonepe-launches-upi-payments-for-feature-phones/,Business Updates,,phonepe,,News,Others,Late Stage Startup,3 Days,Inform Me,0.333
570561,2026-08-31T17:40:13,[Update] ESDS IPO Subscribed 18.3X On Day 2; NII Portion Booked 51X,https://inc42.com/buzz/esds-ipo-subscribed-8x-on-day-2-nii-portion-booked-22x/,Startup IPO,,codenxt-technologies,,News,Others,Late Stage Startup,3 Days,Inform Me,0.613
570614,2026-08-31T16:15:24,"Centre Notifies ₹1.28 Lakh Cr Semicon 2.0, Targets 1 Lakh More Chip Engineers",https://inc42.com/buzz/centre-notifies-%e2%82%b91-28-lakh-cr-semicon-2-0-targets-1-lakh-more-chip-engineers/,Government & Policies,Semiconductors,,,News,Others,,3 Days,Inform Me,0.315
570606,2026-08-31T15:44:17,Ather Shares Surge 5.7% To Hit Record High After Konarc Launch,https://inc42.com/buzz/ather-shares-surge-5-7-to-hit-record-high-after-konarc-launch/,Business Updates,,ather-energy,,News,Others,Listed Startup,3 Days,Inform Me,0.37
570596,2026-08-31T15:08:22,"Zomato Lays Off 240 Employees, Shuts Hyderabad Customer Support Operations",https://inc42.com/buzz/zomato-lays-off-240-employees-shuts-hyderabad-customer-support-operations/,Controversies,,zomato,,News,Others,Listed Startup,3 Days,Inform Me,0.49
570583,2026-08-31T14:08:24,Zomato Bans Sale Of Analogue Dishes On Its Platform,https://inc42.com/buzz/zomato-bans-sale-of-analogue-dishes-on-its-platform/,Business Updates,,zomato,,News,Others,Listed Startup,3 Days,Inform Me,0.37
570576,2026-08-31T13:53:04,Online Grocery Startup Satvacart Shuts Down After 12-Year Run,https://inc42.com/buzz/online-grocery-startup-satvacart-shuts-down-after-12-year-run/,Controversies,,satvacart,,News,Others,Growth Stage Startup,3 Days,Inform Me,0.39
570574,2026-08-31T13:23:01,State Street Closes ₹580 Cr Investment In Groww AMC,https://inc42.com/buzz/state-street-closes-%e2%82%b9580-cr-investment-in-groww-amc/,Startup Funding & Investments,,groww,,News,Others,Listed Startup,3 Days,Inform Me,0.668
570572,2026-08-31T13:08:13,"Truemeds Eyes DealShare Acquisition At $90 Mn, 95% Below Peak Valuation: Report",https://inc42.com/buzz/truemeds-eyes-dealshare-acquisition-at-90-mn-95-below-peak-valuation-report/,Startup Mergers & Acquisitions,,dealshare,,News,Others,Late Stage Startup,3 Days,Inform Me,0.717
570565,2026-08-31T11:36:49,NPCI To Let Users Port UPI AutoPay Mandates Across Apps: Report,https://inc42.com/buzz/npci-to-let-users-port-upi-autopay-mandates-across-apps-report/,Government & Policies,,tbd,,News,Others,Government,3 Days,Inform Me,0.365
570553,2026-08-31T11:00:13,"YOGa Bags ₹20 Cr From Info Edge, Others To Scale Clean-Air Solutions",https://inc42.com/buzz/yoga-bags-%e2%82%b920-cr-from-info-edge-others-to-scale-clean-air-solutions/,Startup Funding & Investments,,yoga clean air,,News,Others,Growth Stage Startup,3 Days,Inform Me,0.496
570551,2026-08-31T10:47:50,Bira 91 Faces Fresh Insolvency Threat Over ₹11.8 Cr Dues,https://inc42.com/buzz/bira-91-faces-fresh-insolvency-threat-over-%e2%82%b911-8-cr-dues/,Controversies,,bira91,,News,Others,Late Stage Startup,3 Days,Inform Me,0.508
570534,2026-08-31T08:00:23,"Meta’s Double Standards, Weekly Funding Rundown & More",https://inc42.com/buzz/metas-double-standards-weekly-funding-rundown-more/,Controversies,Social Media,,,News,Inc42 Daily Brief,,3 Days,Inform Me,0.315
570504,2026-08-31T06:00:09,Purple Style Labs Asks For A Luxury Premium,https://inc42.com/features/purple-style-labs-asks-for-a-luxury-premium/,,,purple-style-labs,,In-Depth,Series,Late Stage Startup,3 Days,Give Me Perspective,0.438
500455,2026-08-30T12:30:54,Indian Startup IPO Tracker 2026,https://inc42.com/features/indian-startup-ipo-tracker-2026/,,Startup Ecosystem,,,In-Depth,Listicle,,3 Days,Inform Me,0.3
570482,2026-08-30T11:00:43,Zerodha’s Diversification Clock Is Ticking,https://inc42.com/features/zerodhas-diversification-clock-is-ticking/,,,groww,,In-Depth,Series,Late Stage Startup,7 Days,Inform Me,0.438
561947,2026-08-29T23:59:38,FY26 Financial Tracker: Tracking The Financial Performance Of Indian Startups,https://inc42.com/features/fy26-financial-tracker-tracking-the-financial-performance-of-indian-startups/,,Startup Ecosystem,,,In-Depth,Others,,3 Days,Inform Me,0.3
570511,2026-08-29T19:23:36,Ola Electric Secures Centre’s ₹95.81 Cr Incentive Under PLI-Auto Scheme,https://inc42.com/buzz/ola-electric-secures-centres-%e2%82%b995-81-cr-incentive-under-pli-auto-scheme/,Business Updates,,ola-electric,,News,Others,Listed Startup,3 Days,Inform Me,0.469
