slug,exists,employees,emp_3m_change,last_funding_amount,total_funding_str,total_revenue,revenue_yoy,revenue_year,traffic_1m_change,investors_n,last_funding_stage,pnl,err
cars24,True,10194,0.69,1302486044,1302486044,67373800000,23.97,"₹6,737.4 Cr+ (FY24)",-12.17,29,Late Stage,true,
cartrade,True,378,,310813665,310813665,3484700000,25.1,₹348.5 Cr+ (FY26),-11.52,9,Late Stage,true,
cashfree-payments,False,,,,,,,,,,,,
centricity,True,680,6.42,53000000,53000000,107072000,184.3,₹10.7 Cr+ (FY25),-13.2,24,Late Stage,true,
codenxt-technologies,True,1,,24256,24256,1159360,,₹11.6 Lakh+ (FY25),,0,Early Stage,true,
coding-ninjas,False,,,,,,,,,,,,
comet,True,135,5.47,5071383,5071383,317246000,303.62,₹31.7 Cr+ (FY25),-1.84,3,Growth Stage,true,
consint,True,78,2.63,2883559,2883559,35837800,41.86,₹3.6 Cr+ (FY25),-19.59,3,Growth Stage,true,
contravault-ai,True,33,13.79,3695790,3695790,2366000,,₹23.7 Lakh+ (FY25),-57.85,8,Growth Stage,true,
cosmos-diamonds,True,9,28.57,,,,,,160.4,0,,false,
cosmoserve-space,True,10,-9.09,3769942,3769942,,,,,7,Early Stage,false,
course5-intelligence,False,,,,,,,,,,,,
cradlewise,True,95,11.76,19000000,19000000,141700000,140.17,₹14.2 Cr+ (FY23),-8.19,14,Growth Stage,true,
cred,True,2253,-0.22,1893562896,1893562896,25356700000,12.17,"₹2,535.7 Cr+ (FY25)",0.35,37,Late Stage,true,
credit-fair,True,108,-6.9,31915015,31915015,307605000,,₹30.8 Cr+ (FY24),-59.9,15,Early Stage,true,
crib,True,76,,2230569,2230569,10425900,183.82,₹1.0 Cr+ (FY25),13.09,27,Undisclosed,true,
cropin,True,168,1.2,44081000,44081000,384032000,7.39,₹38.4 Cr+ (FY25),0.1,13,Late Stage,true,
ctruh,True,55,-1.79,2500000,2500000,1268000,26.8,₹12.7 Lakh+ (FY25),7.68,4,Early Stage,true,
cult-fit,False,,,,,,,,,,,,
cumin-co,True,52,33.33,6500000,6500000,3168650,,₹31.7 Lakh+ (FY25),-7.62,7,Growth Stage,true,
curefoods,True,785,-0.13,255952552,255952552,3597630000,57.65,₹359.8 Cr+ (FY25),-19.31,27,Late Stage,true,
dealshare,True,1683,-0.47,398618406,398618406,5235170000,,₹523.5 Cr+ (FY25),33.28,16,Late Stage,true,
dehaat,True,1427,-0.07,251211484,251211484,26475900000,36.12,"₹2,647.6 Cr+ (FY24)",-12.99,15,Growth Stage,true,
delhivery,True,34623,2.93,1383069361,1383069361,102021400000,17.15,"₹10,202.1 Cr+ (FY26)",-2.39,16,Late Stage,true,
devx,True,230,9.52,18160560,18160560,1803800000,21.17,₹180.4 Cr+ (FY26),-10.37,16,Early Stage,true,
dhruva-space,True,323,4.19,30189263,30189263,110953000,,₹11.1 Cr+ (FY25),10.8,16,Bridge Stage,true,
digit-insurance,True,3142,-5.73,538537778,538537778,96317200000,11.8,"₹9,631.7 Cr+ (FY25)",-3.06,20,,true,
discovered-materials,False,,,,,,,,,,,,
docpharma,True,32,,2000000,2000000,,,,-0.86,3,Growth Stage,false,
dogsee-chew,True,17,-5.56,21997663,21997663,355713000,,₹35.6 Cr+ (FY25),-27.26,7,Growth Stage,true,
dot-&-key,False,,,,,,,,,,,,
dream11,True,1559,-11.42,1565000000,1565000000,73330600000,,"₹7,333.1 Cr+ (FY25)",207.8,14,Late Stage,true,
e2e-networks,True,235,-7.84,50100000,50100000,,,,-4.43,2,Early Stage,false,
e3-electric-ai,True,48,17.07,10400000,10400000,,,,20.13,1,Growth Stage,false,
earlysalary,True,1070,2.79,293267529,293267529,3995070000,36.67,₹399.5 Cr+ (FY25),1.79,15,Late Stage,true,
easemytrip,True,1315,1.08,2191670,2191670,3289100000,,₹328.9 Cr+ (FY26),2.29,1,,true,
econovus-packaging,False,,,,,,,,,,,,
elevation-capital,True,91,-1.09,,,,,,22.55,0,,false,
emergent,True,396,28.99,230000000,230000000,,,,3.1,18,Late Stage,false,
epigamia,True,249,1.22,60093731,60093731,1720200000,17.89,₹172.0 Cr+ (FY23),,10,Late Stage,true,
epoch-elder-care,True,84,3.7,,,,,,46.07,0,,false,
equal-identity,True,74,-3.9,40000000,40000000,42970000,71.88,₹4.3 Cr+ (FY25),1.89,20,Growth Stage,true,
ethereal-machines,True,125,2.46,49855733,49855733,169330000,164.64,₹16.9 Cr+ (FY25),-25.69,25,Growth Stage,true,
even,True,681,-0.73,90447742,90447742,250465000,209.44,₹25.0 Cr+ (FY25),27.04,20,Growth Stage,true,
exponent-energy,True,316,6.4,65408233,65408233,440540000,112.21,₹44.1 Cr+ (FY25),3.87,14,Growth Stage,true,
farm-watt,False,,,,,,,,,,,,
fibe,False,,,,,,,,,,,,
fino-payments-bank,True,6278,1.57,3699175,3699175,,,,5.52,1,,false,
finova-capital,True,2209,4.64,276000000,276000000,914200000,112.36,₹91.4 Cr+ (FY20),-31.29,7,Late Stage,true,
firstcry,True,5741,1.52,1126337914,1126337914,29034400000,10.1,"₹2,903.4 Cr+ (FY26)",4.19,19,Late Stage,true,
fitbee,False,,,,,,,,,,,,
fittr,True,675,-0.59,16971824,16971824,959478000,16.12,₹95.9 Cr+ (FY25),-1.44,6,Growth Stage,true,
fixxly,False,,,,,,,,,,,,
fizzy-goblet,False,,,,,,,,,,,,
fleetx,True,603,-0.82,38500000,38500000,797062000,32.53,₹79.7 Cr+ (FY25),5.82,15,Late Stage,true,
flipkart,True,95936,1.65,15005953002,,831046000000,356.93,"₹83,104.6 Cr+ (FY25)",0.44,0,Late Stage,true,
foodstories,True,191,6.11,5200000,5200000,,,,-3.09,1,Growth Stage,false,
fractal-analytics,True,7112,1.28,860600000,860600000,,,,-2.1,11,,false,
fragaria,True,17,6.25,2000000,2000000,253325,,₹2.5 Lakh+ (FY25),14.95,4,Early Stage,true,
freehand,False,,,,,,,,,,,,
freshmenu,True,509,-0.78,37376734,37376734,1258290000,0.89,₹125.8 Cr+ (FY25),-0.2,8,Late Stage,true,
freshworks,True,7786,2.66,483999930,483999930,,,,3.3,7,Late Stage,false,
fundamentum,True,15,,,,,,,-43.26,0,,false,
furlenco,True,590,5.55,291473148,291473148,1515400000,,₹151.5 Cr+ (FY24),29.58,35,Late Stage,true,
furrl,True,11,-56,,,6227550,91.21,₹62.3 Lakh+ (FY25),-5.49,1,Early Stage,true,
galaxeye,True,179,1.7,26887248,26887248,20180500,761.31,₹2.0 Cr+ (FY25),-50.49,23,Growth Stage,true,
gameskraft,True,387,-11.44,,,34666000000,28.21,"₹3,466.6 Cr+ (FY24)",64.32,0,,true,
garuda-aerospace,True,565,6.2,37089603,37089603,1248000000,12.68,₹124.8 Cr+ (FY25),0.56,9,Growth Stage,true,
genrobotics,True,247,2.49,2958049,2958049,,,,,6,Early Stage,false,
getvantage,True,109,-0.91,47600000,47600000,86832000,,₹8.7 Cr+ (FY25),-8.15,14,Growth Stage,true,
glance,True,1090,3.81,390000000,390000000,4941700000,,₹494.2 Cr+ (FY24),-9.65,3,Late Stage,true,
gnani-ai,True,283,15.98,14000000,14000000,568542000,151.34,₹56.9 Cr+ (FY25),-19.72,4,Growth Stage,true,
gokwik,True,611,0.66,68450286,68450286,1174550000,23.96,₹117.5 Cr+ (FY25),-5.72,23,Growth Stage,true,
gps-renewables,False,,,,,,,,,,,,
graph-ai,True,18,-10,3000000,3000000,,,,29.24,1,Early Stage,false,
gravity,False,,,,,,,,,,,,
greenjoules,True,66,11.86,11021443,11021443,48033000,,₹4.8 Cr+ (FY25),-63.16,3,Growth Stage,true,
grofers,True,28970,17.61,914139000,914139000,43890000000,126.94,"₹4,389.0 Cr+ (FY25)",-8.6,15,Undisclosed,true,
groww,True,3152,0.7,655500000,655500000,33327500000,14.52,"₹3,332.8 Cr+ (FY26)",1.5,22,Late Stage,true,
groyyo,True,117,-0.85,45709626,45709626,4174400000,,₹417.4 Cr+ (FY24),1014.53,17,Growth Stage,true,
hala-mobility,True,178,23.61,7000000,7000000,250209000,111.22,₹25.0 Cr+ (FY25),-13.25,7,Growth Stage,true,
hammer,False,,,,,,,,,,,,
hang-ten-systems,True,18,50,32000000,32000000,,,,,2,Early Stage,false,
healthifyme,True,1473,-1.01,150000000,150000000,2067900000,,₹206.8 Cr+ (FY24),35.02,18,Late Stage,true,
healthquad,False,,,,,,,,,,,,
hero-enterprise,True,1033,3.71,,,,,,-29.66,0,,false,
home-credit-india,True,10079,2.96,,0,,,,20.9,1,,false,
homelane,True,3776,1.89,156858172,156858172,6834300000,10.82,₹683.4 Cr+ (FY25),12.34,16,Late Stage,true,
homerun,True,32,6.67,19627185,19627185,,,,-13.56,13,Growth Stage,false,
honasa-consumer,True,1140,1.42,102250000,102250000,,,,85.48,4,Late Stage,false,
hulp,False,,,,,,,,,,,,
hunar,True,82,-1.2,,,,,,-10.03,0,,false,
hypernorm-ai,True,20,11.11,2200000,2200000,,,,,7,Early Stage,false,
icertis,True,2414,0.37,566000000,566000000,554432000,,₹55.4 Cr+ (FY25),-2.91,13,Late Stage,true,
ideaforge,True,713,-0.56,40371864,40371864,2488200000,32.95,₹248.8 Cr+ (FY26),0.37,23,Growth Stage,true,
ikin-global,True,11,57.14,3000000,3000000,32941400,118.71,₹3.3 Cr+ (FY25),-38.27,3,Growth Stage,true,
imarticus-learning,True,1400,1.45,3000000,3000000,2009310000,24.99,₹200.9 Cr+ (FY25),-12.36,4,Growth Stage,true,
immuneel-therapeutics,True,112,,37128126,37128126,99224400,341,₹9.9 Cr+ (FY25),-22.07,7,Growth Stage,true,
in-space,True,47,-2.08,,,,,,-38.14,0,,false,
incred-holdings-limited,True,2399,4.71,28805950,28805950,,,,,2,,false,
incuspaze-office-spaces,True,236,7.27,23900000,23900000,1467730000,54.68,₹146.8 Cr+ (FY25),16.14,3,Growth Stage,true,
india-quotient,True,17,-10.53,,,,,,-22.97,0,,false,
indiamart,True,19356,1.24,30839800,30839800,16336100000,1.85,"₹1,633.6 Cr+ (FY26)",-0.31,8,Late Stage,true,
indiqube,True,964,4.1,45312000,45312000,15275200000,38.5,"₹1,527.5 Cr+ (FY26)",-9.94,2,Growth Stage,true,
infibeam-avenues,False,,,,,,,,,,,,
inflexor-ventures,True,21,-4.55,,,,,,110.24,0,,false,
info-edge,True,5763,0.19,,,33874200000,14.15,"₹3,387.4 Cr+ (FY26)",-3.66,0,,true,
info-edge-ventures,True,29,3.57,,,,,,-16.87,0,,false,
infra-market,True,1888,-0.26,740442837,740442837,62027000000,16.07,"₹6,202.7 Cr+ (FY25)",37.93,43,Late Stage,true,
inmobi,True,481,14.8,774300000,774300000,,,,-9.85,15,Late Stage,false,
innovist,True,241,3.43,29265964,29265964,3013900000,182.17,₹301.4 Cr+ (FY25),-0.18,15,Growth Stage,true,
innoviti,True,616,1.65,115561156,115561156,1444500000,32.34,₹144.4 Cr+ (FY25),82.38,19,Late Stage,true,
inrisk-labs,True,9,,27000000,27000000,,,,,2,Growth Stage,false,
inspecity,True,51,2,17500149,17500149,5946960,,₹59.5 Lakh+ (FY25),-63.08,11,Growth Stage,true,
instaastro,True,262,6.94,14726459,14726459,523282000,108.34,₹52.3 Cr+ (FY25),18.97,11,Growth Stage,true,
insurancedekho,True,2352,1.51,430000000,430000000,13115500000,67.09,"₹1,311.5 Cr+ (FY25)",16.71,11,Growth Stage,true,
ixigo,True,669,2.14,202500000,202500000,12546700000,35.11,"₹1,254.7 Cr+ (FY26)",-0.1,14,Growth Stage,true,
jagdish-farshan,False,,,,,,,,,,,,
jar-app,True,937,-0.21,111669690,111669690,383600000,160.6,₹38.4 Cr+ (FY24),21.09,37,Growth Stage,true,
jewelbox,True,164,5.13,3646000,3646000,321526000,124.53,₹32.2 Cr+ (FY25),-7.71,3,Growth Stage,true,
jio-star,False,,,,,,,,,,,,
just-dial,True,15515,2.57,113464409,113464409,15477200000,1.26,"₹1,547.7 Cr+ (FY26)",1.91,8,Late Stage,true,
justai,False,,,,,,,,,,,,
kalaari-capital,True,68,6.25,,,,,,6.46,0,,false,
kapture-cx,True,652,0.62,18000000,18000000,409176000,33.61,₹40.9 Cr+ (FY24),27.58,3,Growth Stage,true,
karo-sambhav,True,100,3.09,5900000,5900000,,,,-44.97,1,Growth Stage,false,
keka-hr,True,1275,1.43,58600000,58600000,1338640000,54.51,₹133.9 Cr+ (FY25),-2.94,1,Growth Stage,true,
kepler-aerospace,False,,,,,,,,,,,,
ketto,True,480,,850000,850000,712497000,,₹71.2 Cr+ (FY25),-15.12,13,Early Stage,true,
kily,False,,,,,,,,,,,,
kirana-club,True,577,2.12,,0,49216600,82.34,₹4.9 Cr+ (FY25),-47.16,6,Early Stage,true,
kissht,True,2339,3.63,142543497,142543497,,,,13.98,13,Late Stage,false,
klassroom,True,36,,2125000,2125000,101058000,118.56,₹10.1 Cr+ (FY25),-59.22,15,Growth Stage,true,
klydo.official,error,,,,,,,,,,,,HTTP Error 308: Permanent Redirect
knya-med,True,141,29.36,,0,511125000,87.84,₹51.1 Cr+ (FY25),-7.25,3,Early Stage,true,
kountmoney,False,,,,,,,,,,,,
kuku-fm,True,1474,11.25,156800000,156800000,2583780000,148.03,₹258.4 Cr+ (FY25),9.25,16,Late Stage,true,
lead-school,False,,,,,,,,,,,,
leap-india,True,567,1.07,184872776,184872776,3190000000,27.89,₹319.0 Cr+ (FY24),-2.58,16,Growth Stage,true,
lendbox,True,63,-3.08,847218,847218,148215000,54.17,₹14.8 Cr+ (FY25),20.43,1,Early Stage,true,
lendenclub,True,332,0.3,12000000,12000000,564065000,58,₹56.4 Cr+ (FY25),-2.47,21,Growth Stage,true,
lenskart,True,16380,2.87,2121667353,2121667353,54498500000,28.97,"₹5,449.9 Cr+ (FY26)",5.57,46,Late Stage,true,
leverage-edu,True,1222,2.43,73273326,73273326,1148000000,67.62,₹114.8 Cr+ (FY25),29.33,55,Late Stage,true,
lightfury-games,True,99,1.02,19499091,19499091,44367800,158.68,₹4.4 Cr+ (FY25),-24.05,15,Late Stage,true,
lissun,True,121,-9.02,7832975,7832975,58654700,106.53,₹5.9 Cr+ (FY25),5.75,24,Growth Stage,true,
logcat.ai,error,,,,,,,,,,,,HTTP Error 308: Permanent Redirect
mad-over-buildings-(mob),False,,,,,,,,,,,,
mahadev-book,False,,,,,,,,,,,,
makemytrip,True,7554,0.84,3848000000,3848000000,,,,-1.03,8,Late Stage,false,
manam-chocolate,True,134,1.52,12500000,12500000,2083200000,15.74,₹208.3 Cr+ (FY25),,3,Growth Stage,true,
mapmyindia,True,1080,1.69,70036145,70036145,4578200000,5.1,₹457.8 Cr+ (FY26),-19.36,13,Undisclosed,true,
matel-motion,True,123,4.24,17589206,17589206,506464000,54.66,₹50.6 Cr+ (FY25),3.47,6,Growth Stage,true,
matrimony-com,True,2698,1.47,,,,,,6.05,0,,false,
matter,True,680,-11.57,88000000,88000000,61846000,342.8,₹6.2 Cr+ (FY25),22.41,12,Growth Stage,true,
medial,True,28,-12.5,620000,620000,639694,,₹6.4 Lakh+ (FY25),32.37,6,Early Stage,true,
medulance,True,156,4,3000000,3000000,641916000,18.75,₹64.2 Cr+ (FY25),-20.81,4,Growth Stage,true,
meesho,True,24601,2.09,1609599928,1609599928,78057400000,,"₹7,805.7 Cr+ (FY26)",7.94,33,Late Stage,true,
mensa-brands,True,602,2.56,294257129,294257129,,,,,16,Growth Stage,false,
meru-cabs,True,635,,75000000,75000000,3360500000,81.14,₹336.1 Cr+ (FY24),1.05,3,,true,
micromax-informatics,False,,,,,,,,,,,,
milo-drive,True,17,,2400000,2400000,14751900,,₹1.5 Cr+ (FY25),-31.6,6,Late Stage,true,
minimac-systems,True,121,-0.82,3200000,3200000,,,,13.64,1,,false,
minimalist,True,468,3.77,14814366,14814366,4483280000,32.83,₹448.3 Cr+ (FY25),11.33,2,Growth Stage,true,
mintoak,True,163,5.16,25680446,25680446,1048390000,25.09,₹104.8 Cr+ (FY25),-16.5,5,Growth Stage,true,
mirae-asset-venture-investments,False,,,,,,,,,,,,
mitigata-smart-cyber-insurance,True,147,27.83,20900000,20900000,31876300,962.54,₹3.2 Cr+ (FY25),4.18,4,Growth Stage,true,
mitti-labs,False,,,,,,,,,,,,
mobavenue,True,218,5.31,,,,,,-2.89,0,,false,
mobikwik,True,1612,0.25,243208007,243208007,11512300000,,"₹1,151.2 Cr+ (FY26)",5.32,35,Late Stage,true,
moengage,True,955,5.88,487384812,487384812,3115300000,27.23,₹311.5 Cr+ (FY24),-7.84,19,Late Stage,true,
money-view,True,1315,8.23,199701702,199701702,15088000000,41.96,"₹1,508.8 Cr+ (FY25)",-15.94,19,Late Stage,true,
mowito,True,31,6.9,3000000,3000000,,,,-33.27,8,Early Stage,false,
mygate,True,1166,6.19,103049880,103049880,1866240000,70.98,₹186.6 Cr+ (FY25),4.27,7,Growth Stage,true,
mykare-health,False,,,,,,,,,,,,
naturis-cosmetics,True,100,11.11,11800000,11800000,,,,1.83,6,Growth Stage,false,
navi,True,3420,6.34,100000000,100000000,,,,-18.35,1,,false,
navi-technologies,True,3420,9.34,697464997,697464997,5234080000,,₹523.4 Cr+ (FY25),,21,Early Stage,true,
nazara-technologies,True,181,-1.63,334723972,334723972,1822500000,80.7,₹182.2 Cr+ (FY26),-10.3,21,Late Stage,true,
neogen-infotech,True,9,,,,,,,-46.25,0,,false,
nexedge-capital,False,,,,,,,,,,,,
next-bharat-ventures,False,,,,,,,,,,,,
ninjacart,True,3108,0.03,412735662,412735662,20811400000,71.64,"₹2,081.1 Cr+ (FY24)",-17.09,25,Late Stage,true,
nitro-commerce,True,59,,6797611,6797611,117735000,779.68,₹11.8 Cr+ (FY25),,17,Growth Stage,true,
niyo-solutions,False,,,,,,,,,,,,
nobroker,True,6234,3.62,376000000,376000000,8883400000,29.98,₹888.3 Cr+ (FY24),-2.58,14,Late Stage,true,
nopaperforms,True,561,0.18,871000,871000,958410000,30.2,₹95.8 Cr+ (FY25),3.21,1,,true,
novyte-materials,True,15,50,,0,,,,,3,Early Stage,false,
nua,True,254,3.25,15769069,15769069,960513000,100.02,₹96.1 Cr+ (FY25),-18.23,9,Late Stage,true,
nurix-ai,True,118,-5.6,42133417,42133417,43095000,,₹4.3 Cr+ (FY25),-5.33,4,Early Stage,true,
nykaa,True,6604,1.96,156889368,156889368,5458400000,,₹545.8 Cr+ (FY26),2.38,26,Late Stage,true,
octobotics,True,22,,1104791,1104791,18540100,296.97,₹1.9 Cr+ (FY25),-27.08,2,Early Stage,true,
ofbusiness,True,1155,0.96,890125171,890125171,147350000000,9.44,"₹14,735.0 Cr+ (FY25)",-0.47,17,Late Stage,true,
ola-electric,True,8949,2.33,1503290424,1503290424,813900000,,₹81.4 Cr+ (FY26),37.91,23,Late Stage,true,
ola-fleet-technologies,True,29917,0.42,7661661,7661661,,,,,1,,false,
ola-krutrim,True,407,-2.16,524000000,524000000,1092700000,3436.25,₹109.3 Cr+ (FY25),-20.57,3,Growth Stage,true,
omega-seiki-mobility,True,337,-0.59,10400000,10400000,,,,-6.72,7,,false,
one97-communications,True,5049,-1.66,244800000,244800000,,,,-31.9,8,Undisclosed,false,
oneassist,True,726,2.69,64420000,64420000,5176050000,17.43,₹517.6 Cr+ (FY25),-8.8,9,Late Stage,true,
onecap,False,,,,,,,,,,,,
open-secret,True,134,-1.47,15180000,15180000,875018000,62.01,₹87.5 Cr+ (FY25),25.88,9,Growth Stage,true,
opigo,True,3,,168225,168225,969569,,₹9.7 Lakh+ (FY25),-53.81,2,Early Stage,true,
optimist,True,35,9.38,12000000,12000000,496083,,₹5.0 Lakh+ (FY25),,2,Growth Stage,true,
oracle-information-systems,True,20,5.26,,,,,,,0,,false,
origin-fresh,True,45,-6.25,1000000,1000000,458585000,1547.53,₹45.9 Cr+ (FY25),-10.75,1,Early Stage,true,
oyo,True,15425,-0.04,3705492655,3705492655,3769160000,233.2,₹376.9 Cr+ (FY25),-1.27,26,Late Stage,true,
paytm,True,31388,5.32,4905313356,4905313356,64940000000,5.74,"₹6,494.0 Cr+ (FY26)",,28,Late Stage,true,
paytm-payments-bank,True,3979,-0.48,31433346,31433346,2333120000,,₹233.3 Cr+ (FY25),-13.79,3,,true,
payu,True,3355,0.12,35026800,35026800,39719100000,16.08,"₹3,971.9 Cr+ (FY25)",5.96,1,,true,
peak-xv-partners,True,203,,,,,,,-6.74,0,,false,
peeko,True,61,32.61,10200000,10200000,,,,-2.15,8,Growth Stage,false,
pernias-pop-up-shop,False,,,,,,,,,,,,
